mlo_db	mlo
cytoplasmic stress granule	cytoplasmic stress granule
P granule	p granule
spindle matrix	spindle matrix
cytoplasmic ribonucleoprotein granule	cytoplasmic ribonucleoprotein granule
synaptosome, neuron projection	synaptosome, neuron projection
neuronal ribonucleoprotein granule	neuronal ribonucleoprotein granule
nuclear protein granule	nuclear protein granule
membrane cluster	membrane cluster
actin cortical patch	actin cortical patch
Arp2/3 protein complex	arp2/3 protein complex
pi-body	pi-body
nuclear pore central transport channel	nuclear pore central transport channel
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel	selective hydrogel-like meshwork formed by fg-nucleoporins in nuclear pore central channel
extracellular matrix	extracellular matrix
collagen-containing extracellular matrix	collagen-containing extracellular matrix
paraspeckle	paraspeckle
heterochromatin	heterochromatin
nucleolus	nucleolus
dense fibrillar component	dense fibrillar component
nuclear body	nuclear body
granular component	granular component
pericentriolar material	pericentriolar material
cytoplasmic protein granule	cytoplasmic protein granule
cytoplasmic microtubule	cytoplasmic microtubule
condensed compartments of microtubule bundling	condensed compartments of microtubule bundling
RISC complex	risc complex
P-body	p-body
micro-ribonucleoprotein complex	micro-ribonucleoprotein complex
miRISC	mirisc
GW-body	gw-body
postsynaptic density	postsynaptic density
galectin complex	galectin complex
galectin lattice	galectin lattice
inclusion body	inclusion body
p62 body	p62 body
TCR signalosome	tcr signalosome
LAT signalosome	lat signalosome
basal Numb-Pon crescent in dividing neuroblasts	basal numb-pon crescent in dividing neuroblasts
Sup35 condensate	sup35 condensate
mutator focus	mutator focus
small RNA amplification complex	small rna amplification complex
presynaptic cytosol	presynaptic cytosol
a matrix holding together clusters of synaptic vesicles (SVs)	a matrix holding together clusters of synaptic vesicles (svs)
intracellular DNA/protein granule	intracellular dna/protein granule
cGAS foci	cgas foci
enhanceosome	enhanceosome
nuclear bodies that occur at super enhancers in mESCs	nuclear bodies that occur at super enhancers in mescs
mitochondrial cloud	mitochondrial cloud
germ plasm	germ plasm
Balbiani body	balbiani body
Ftsz-rich droplets at specific chromosomal DNA sites	ftsz-rich droplets at specific chromosomal dna sites
cytoplasmic viral factory	cytoplasmic viral factory
Negri body	negri body
bacterial RNP-bodies (BR-bodies)	bacterial rnp-bodies (br-bodies)
ribonucleoprotein complex	ribonucleoprotein complex
Sam68 nuclear bodies (SNBs)	sam68 nuclear bodies (snbs)
SPOP/DAXX body	spop/daxx body
euchromatin	euchromatin
Sec body	sec body
RNA polymerase II, holoenzyme	rna polymerase ii, holoenzyme
POLII clusters	polii clusters
nuclear speckle	nuclear speckle
viroplasm	viroplasm
PcG protein complex	pcg protein complex
PcG chromatin condensates	pcg chromatin condensates
Std1 bodies	std1 bodies
pyrenoid	pyrenoid
TIS granule	tis granule
robustly E2-activated enhancers (MegaTrans) enhancers	robustly e2-activated enhancers (megatrans) enhancers
liquid-like DYRK3 speckles	liquid-like dyrk3 speckles
intracellular non-membrane-bounded organelle	intracellular non-membrane-bounded organelle
PML body	pml body
contractile ring	contractile ring
Yb body	yb body
MORC3-NBs	morc3-nbs
axonal TIAR-2 granules	axonal tiar-2 granules
_	
Nuclear pore complex	nuclear pore complex
Nuage	nuage
Paraspeckle	paraspeckle
Stress granule	stress granule
Spindle apparatus	spindle apparatus
Neuronal granule	neuronal granule
Pericentriolar matrix	pericentriolar matrix
Heterochromatin	heterochromatin
Nuclear speckle	nuclear speckle
Nuclear body	nuclear body
Tau condensate	tau condensate
Adhesin nanodomain	adhesin nanodomain
