"uid","name","description","species_taxon_id","species_name","confidence_score","condensate_type","infectious_agent_species_id","infectious_agent_species_name"
"03FC3A53",Synthetic Condensate 000074,,9606,Homo sapiens,3,synthetic,,
ECE45DA7,Synthetic Condensate 000150,,36200,Dissostichus mawsoni,3,synthetic,,
"99074DA8",PCBP2 condensates,"The PCBP2 condensate is a biomolecular condensate formed as a result of phase separation of poly(C)-binding protein 2 (PCBP2). PCBP2 condensates sequester mitochondrial and mRNA-binding proteins, leading to the outside impairment of mitochondrial morphology and function, and BACE1 mRNA decay relative to amyloid deposition. Mitochondrial proteins sequestered by PCBP2 are not found in reported processing bodies (PB) or stress granules (SG).",10090,Mus musculus,5,biomolecular,,
D5A5F0CB,TRIM45 bodies,Cytoplasmic Puncta,9606,Homo sapiens,4,biomolecular,,
"904EB3AA",CEBPZ condensates,CEBPZ protein undergoes liquid-liquid phase separation. Affecting its phase separation seems to alleviate signs of liver fibrosis.,9606,Homo sapiens,3,biomolecular,,
"7954D4A1",c‐Maf condensates,"The c-Maf condensate is a biomolecular condensate formed as a result of phase separation of the transcription factor c-Maf. Alanine‐rich intrinsically disordered regions (IDRs) in c‐Maf drive hydrophobic interactions, enabling phase separation. c‐Maf recruits RNA Polymerase II via phase separation to establish transcriptional condensates that upregulate Mtbp transcription.",9606,Homo sapiens,4,biomolecular,,
"9E05DBF7",c‐Maf condensates,"The c-Maf condensate is a biomolecular condensate formed as a result of phase separation of the transcription factor c-Maf. Alanine‐rich intrinsically disordered regions (IDRs) in c‐Maf drive hydrophobic interactions, enabling phase separation. c‐Maf recruits RNA Polymerase II via phase separation to establish transcriptional condensates that upregulate Mtbp transcription.",10090,Mus musculus,5,biomolecular,,
"9EE57072",PCBP2 condensates,"The PCBP2 condensate is a biomolecular condensate formed as a result of phase separation of poly(C)-binding protein 2 (PCBP2). PCBP2 condensates sequester mitochondrial and mRNA-binding proteins, leading to the outside impairment of mitochondrial morphology and function, and BACE1 mRNA decay relative to amyloid deposition. Mitochondrial proteins sequestered by PCBP2 are not found in reported processing bodies (PB) or stress granules (SG).",9606,Homo sapiens,4,biomolecular,,
DEE660B4,Stress granule,"Stress granules (SGs) are condensed membrane-less organelles that form dynamically as RNA and protein (RNP) phase separate during physiological stress. When translation initiation is limited, SGs assemble and play a role in translational regulation and proteome buffering. Translationally stalled mRNAs, translation initiation factors, RNA-binding proteins, and non-RNA-binding proteins are among the constituents of SGs. SGs are one of the most important cellular stress relievers, yet their presence are temporary. Any condition that causes permanent presence of SGs, such as chronic stress or alterations in the structure of the components of SGs, can induce their pathological aggregation and degenerative effects.",9606,Homo sapiens,2,biomolecular,,
"453FB656",Mast cell extracellular granules (MCEGs),"Mast cell extracellular granules (MCEGs) are condensates found in the extracellular space, assembled through electrostatic interactions between glycosaminoglycans and polyamines.",10090,Mus musculus,2,biomolecular,,
"7231FD3C",Synthetic Condensate 000185,,9606,Homo sapiens,3,synthetic,,
B4E97D43,α-synuclein condensates,"In human cell models, stressors could promote the abnormal phase separation of α-synuclein, leading to the formation of solid-like, pathological aggregates. This process is linked to cellular stress, including the unfolded protein response, and is considered a key step preceding aggregation in neurodegenerative diseases. In C. elegans models expressing human α-synuclein, the environmental pollutant PHCZ accelerates the formation of α-synuclein condensates and reduces their fluidity, promoting a pathological solid-like state.",9606,Homo sapiens,4,biomolecular,,
