uniprot,mlo_db,rol_db,source,db,mlo,rol
Q75E28,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
D0PV95,P granule,driver,phasepro,phasepro,p granule,driver
D0PV95,,driver,phasepro,phasepro,,driver
Q7ZXV8,spindle matrix,driver,phasepro,phasepro,spindle matrix,driver
P35637,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
P35637,cytoplasmic ribonucleoprotein granule,driver,phasepro,phasepro,cytoplasmic ribonucleoprotein granule,driver
Q06787,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
Q06787,cytoplasmic ribonucleoprotein granule,driver,phasepro,phasepro,cytoplasmic ribonucleoprotein granule,driver
Q06787,"synaptosome, neuron projection",driver,phasepro,phasepro,"synaptosome, neuron projection",driver
Q06787,neuronal ribonucleoprotein granule,driver,phasepro,phasepro,neuronal ribonucleoprotein granule,driver
Q92804,nuclear protein granule,driver,phasepro,phasepro,nuclear protein granule,driver
Q92804,,driver,phasepro,phasepro,,driver
Q13148,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
Q13148,cytoplasmic ribonucleoprotein granule,driver,phasepro,phasepro,cytoplasmic ribonucleoprotein granule,driver
Q13148,,driver,phasepro,phasepro,,driver
Q8SWR8,neuronal ribonucleoprotein granule,driver,phasepro,phasepro,neuronal ribonucleoprotein granule,driver
Q8SWR8,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
Q01844,nuclear protein granule,driver,phasepro,phasepro,nuclear protein granule,driver
Q01844,,driver,phasepro,phasepro,,driver
P09651,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
P22626-2,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
P22626-2,cytoplasmic ribonucleoprotein granule,driver,phasepro,phasepro,cytoplasmic ribonucleoprotein granule,driver
P31483,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
O60500,membrane cluster,driver,phasepro,phasepro,membrane cluster,driver
O60500,actin cortical patch,driver,phasepro,phasepro,actin cortical patch,driver
O60500,Arp2/3 protein complex,driver,phasepro,phasepro,arp2/3 protein complex,driver
O00401,membrane cluster,driver,phasepro,phasepro,membrane cluster,driver
O00401,actin cortical patch,driver,phasepro,phasepro,actin cortical patch,driver
O00401,Arp2/3 protein complex,driver,phasepro,phasepro,arp2/3 protein complex,driver
P16333,membrane cluster,driver,phasepro,phasepro,membrane cluster,driver
P16333,actin cortical patch,driver,phasepro,phasepro,actin cortical patch,driver
P16333,Arp2/3 protein complex,driver,phasepro,phasepro,arp2/3 protein complex,driver
Q9NQI0,P granule,driver,phasepro,phasepro,p granule,driver
Q9NQI0,pi-body,driver,phasepro,phasepro,pi-body,driver
O00571,cytoplasmic stress granule,driver,phasepro,phasepro,cytoplasmic stress granule,driver
P52948,nuclear pore central transport channel,driver,phasepro,phasepro,nuclear pore central transport channel,driver
P52948,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,driver,phasepro,phasepro,selective hydrogel-like meshwork formed by fg-nucleoporins in nuclear pore central channel,driver
P14907,nuclear pore central transport channel,driver,phasepro,phasepro,nuclear pore central transport channel,driver
P14907,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,driver,phasepro,phasepro,selective hydrogel-like meshwork formed by fg-nucleoporins in nuclear pore central channel,driver
Q02629,nuclear pore central transport channel,driver,phasepro,phasepro,nuclear pore central transport channel,driver
