id	psid	pmid	organism	organism_common_name	protein_name	primary_name	gene_names	cell_line	name	uniprot_id	mlo	mlo_normalized	publication_note	class	method	created_at	updated_at	mlo_source	llps_rol_source
985.0	mloht215	30503769	Homo sapiens					HeLa cells	LMTK3	_	Stress granule	Stress granule	To study the regulatory networks, we targeted 1,354 human genes and screened for morphological changes of nucleoli, Cajal bodies, splicing speckles, PML nuclear bodies (PML-NBs), cytoplasmic processing bodies, and stress granules. 	MLO-ht	immunofluorescence image based screen	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
991.0	mloht221	33939924	Homo sapiens					HeLa cells	HBA1	_	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
992.0	mloht222	33939924	Homo sapiens					HeLa cells	HIST2H2AA3	_	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
993.0	mloht223	33939924	Homo sapiens					HeLa cells	HIST2H3A	_	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
994.0	mloht224	33939924	Homo sapiens					HeLa cells	Q56UQ5	_	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
995.0	mloht225	33939924	Homo sapiens					HeLa cells	Q9H8V8	_	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:12.000Z	Stress granule	client
9609.0	mloht8839	37385249	Homo sapiens	Human	Nitric oxide synthase-interacting protein	NOSIP	NOSIP	HEK293T cells	NOSIP	A0A075B6F9	Stress granule	Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:52:07.000Z	Stress granule	client
9608.0	mloht8838	37385249	Homo sapiens	Human	Prostaglandin E synthase 3	PTGES3	PTGES3	HEK293T cells	PTGES3	A0A087WYT3	Stress granule	Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:52:06.000Z	Stress granule	client
9597.0	mloht8827	37385249	Homo sapiens 					HEK293T cells	CIP2A	A0A087X211	nucleolus,Stress granule	Nucleolus; Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:03:21.000Z	Stress granule	client
9627.0	mloht8857	37385249	Homo sapiens	Human	Replication termination factor 2	RTF2	RTF2	HEK293T cells	RTFDC1	A0A0A0MQR2	Stress granule	Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:52:12.000Z	Stress granule	client
9583.0	mloht8813	37385249	Homo sapiens 					HEK293T cells	ZC3H8	A0A0C4DGZ1	nucleolus,Stress granule	Nucleolus; Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:03:21.000Z	Stress granule	client
9578.0	mloht8808	37385249	Homo sapiens	Human	Cellular tumor antigen p53	TP53	TP53	HEK293T cells	TP53	A0A0U1RQC9	nucleolus,Stress granule	Nucleolus; Stress granule	Using TransitID, we mapped proteome trafficking between cytosol and mitochondria, cytosol and nucleus, and nucleolus and stress granules, uncovering a role for stress granules in protecting the transcription factor JUN from oxidative stress. Data were filtered to produce a list of 36 stress-dependent nucleolus-to-SG translocated proteins, and 37 stress-dependent nucleus-to-SG translocated proteins	MLO-ht	TransitID	2025-08-12T01:03:21.000Z	2025-08-12T01:52:00.000Z	Stress granule	client
1070.0	mloht300	31626750	Homo sapiens	Human	RNA-binding protein 47	RBM47	RBM47	_	RBM47	A0AV96	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:38.000Z	Stress granule	client
1072.0	mloht302	33939924	Homo sapiens	Human	Extended synaptotagmin-2	ESYT2	ESYT2 FAM62B KIAA1228	HeLa cells	ESYT2	A0FGR8	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:08:38.000Z	Stress granule	client
1073.0	mloht303	33939924	Homo sapiens	Human	Transmembrane protein 223	TMEM223	TMEM223	HeLa cells	TMEM223	A0PJW6	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:08:42.000Z	Stress granule	client
1075.0	mloht305	31626750	Homo sapiens	Human	Myelin-associated neurite-outgrowth inhibitor	FAM168B	FAM168B KIAA0280L MANI	_	FAM168B	A1KXE4	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:42.000Z	Stress granule	client
1076.0	mloht306	31626750	Homo sapiens	Human	Probable oxidoreductase PXDNL	PXDNL	PXDNL VPO2	_	PXDNL	A1KZ92	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:43.000Z	Stress granule	client
1078.0	mloht308	31626750	Homo sapiens	Human	RNA-binding protein MEX3A	MEX3A	MEX3A RKHD4	_	MEX3A	A1L020	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:03:26.000Z	Stress granule	client
1097.0	mloht327	31626750	Homo sapiens	Human	CCR4-NOT transcription complex subunit 1	CNOT1	CNOT1 CDC39 KIAA1007 NOT1	_	CNOT1	A5YKK6	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:03:25.000Z	Stress granule	client
1098.0	mloht328	33939924	Homo sapiens	Human	CCR4-NOT transcription complex subunit 1	CNOT1	CNOT1 CDC39 KIAA1007 NOT1	HeLa cells	CNOT1	A5YKK6	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:03:25.000Z	Stress granule	client
1099.0	mloht329	31626750	Homo sapiens	Human	Glycerol-3-phosphate phosphatase	PGP	PGP	_	PGP	A6NDG6	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:48.000Z	Stress granule	client
1100.0	mloht330	33939924	Homo sapiens	Human	Glycerol-3-phosphate phosphatase	PGP	PGP	HeLa cells	PGP	A6NDG6	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:08:48.000Z	Stress granule	client
1106.0	mloht336	33939924	Homo sapiens	Human	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	SMCHD1 KIAA0650	HeLa cells	SMCHD1	A6NHR9	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:08:50.000Z	Stress granule	client
1110.0	mloht340	31626750	Homo sapiens	Human	Coiled-coil domain-containing protein 85C	CCDC85C	CCDC85C	_	CCDC85C	A6NKD9	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:50.000Z	Stress granule	client
1112.0	mloht342	33939924	Homo sapiens	Human	SAC3 domain-containing protein 1	SAC3D1	SAC3D1 SHD1	HeLa cells	SAC3D1	A6NKF1	Stress granule	Stress granule	To gain further insight into the SG proteome, we employed immunoprecipitation coupled with mass spectrometry of endogenous Caprin-1, an RBP implicated in mRNP granules. Overall, we identified 1543 proteins that interact with Caprin-1.	MLO-ht	CAPRIN1 affinity purification	2025-08-12T01:03:12.000Z	2025-08-12T01:08:51.000Z	Stress granule	client
1114.0	mloht344	31626750	Homo sapiens	Human	RanBP2-like and GRIP domain-containing protein 3	RGPD3	RGPD3 RGP3	_	RGPD3	A6NKT7	Stress granule	Stress granule	Curation of reports that used fluorescence co-localization or the proteomics surveys highlighted above provided SG- or PB-associated evidence for ∼800 proteins. In total, 4,385 mammalian proteins (from human, mouse, and rat) have entries in the database.	MLO-ht	multi-datasets integration	2025-08-12T01:03:12.000Z	2025-08-12T01:08:52.000Z	Stress granule	client
