unified_mlo,source_db,source_name,definition
,drllps,Microtubule,"Microtubules (MTs) are tubulin heterodimers that are arranged in a parallel shape of hollow cylinders which play roles in regulating the mechanical structure and dynamics of cells. Much of the structure and dynamics of MTs is highly ordered. In fact, microtubules were enable to be used as platforms to understand the mechanisms underlying liquidâliquid phase separation, some RNA binding proteins on microtubules leads to the formation of mRNA-rich liquid-like compartments on microtubules."
,drllps,Others,Others
a_matrix_holding_together_clusters_of_synaptic_vesicles_(svs),phasepro,a matrix holding together clusters of synaptic vesicles (SVs,
actin_cortical_patch,cdcode,Actin nucleator,"The processive actin polymerase and bundling protein, VASP, forms liquid-like droplets under physiological conditions in vitro"
actin_cortical_patch,cdcode,Cobl condensate,Condensates promoting actin nucleation
actin_cortical_patch,phasepro,actin cortical patch,"An endocytic patch that consists of an actin-containing structure found at the plasma membrane in cells; formed of networks of branched actin filaments that lie just beneath the plasma membrane and assemble, move, and disassemble rapidly. An example of this is the actin cortical patch found in Saccharomyces cerevisiae."
adhesin_nanodomain,phasepdb,Adhesin nanodomain,"In many of the known yeast cell adhesion proteins, there are amino acid sequences predicted to form amyloid-like β-aggregates. These sequences mediate amyloid formation in vitro. In vivo, these sequences mediate a phase transition from a disordered state to a partially ordered state to create patches of adhesins on the cell surface. These β-aggregated protein patches are called adhesin nanodomains, and their presence greatly increases and strengthens cell-cell interactions in fungal cell aggregation."
aggresome,cdcode,Aggresome,"Aggresomes are dynamic and reversible structures that form under stressed conditions. Aggresomes are crucial for bacterial fitness, providing a mechanism for spatial and temporal control of protein aggregation."
aggresome,cdcode,BAG2,"BAG2 condensates are found in the cytosol and triggered by several forms of stress, particularly hyper-osmotic stress. These condensates facilitate client degradation through the 20S proteasome, independent of ubiquitin. Unlike most condensates, BAG2 condensates do not contain RNA. These structures safeguard cell viability during stress and can move towards the client protein. Inhibition of the proteasome leads to the relocation of BAG2 condensates and autophagy markers to an aggresome-like structure."
aggresome,cdcode,Plectin condensates,Plectin (Plec) via its intrinsically disordered region (IDR)-mediated phase separation promotes osteoblast differentiation by sequestering Anxa2 through phase separation.
amyloid_aggregate,cdcode,Als5p amyloid,"In Candida albicans, soluble fragments of Als5p can form amyloid fibers."
anisosome,cdcode,Anisosome,Anisosomes are nuclear liquid spherical shells with liquid core formed by demixing of RNA-binding deficient TDP-43  protein molecules. Formation of anisosome droplets represent a liquid crystal formation and is important in age related neurodegenerative diseases.
anisosome,phasepdb,Anisosome,"RNA binding-deficient TDP-43 (produced by neurodegeneration-causing mutations or posttranslational acetylation in its RNA recognition motifs) drove TDP-43 demixing into intranuclear liquid spherical shells with liquid cores. These droplets, which we named ""anisosomes"", have shells that exhibit birefringence, thus indicating liquid crystal formation."
ankle_link_condensate,cdcode,Ankle Link Complex (ALC) Condensate,"The ankle link complex (ALC) condensate is a liquid-liquid phase-separated (LLPS) structure at cochlear hair cell stereocilia ankles. It promotes the assembly of the USH2 complex, important for stereocilia integrity and function."
ankle_link_condensate,cdcode,Row 1-specific tip complex condensates,"These condensates are located at the tip of the tallest stereocilia within mechanosensory hair cells. Their existence significantly enhances the capacity for actin bundling in these specialized projections, suggesting a potential connection to the determination of the tallest stereocilia"
arp2/3_protein_complex,phasepro,Arp2/3 protein complex,"A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
assemblysome,cdcode,Assemblysome,Cytoplasmic condensates composed of ribosome‐nascent protein chain complexes
bacterial_rnp-bodies_(br-bodies),phasepro,bacterial RNP-bodies (BR-bodies,
bacterial_rnp_body,cdcode,ABC transporter condensate,The ABC transporter (Rv1747) has a regulatory cytoplasmic module which undergoes phase separation and forms liquid- like condensates.
bacterial_rnp_body,cdcode,BR-body,"Bacillus subtilis

RNase Y assembles dynamically into foci in absence of its RNA substrates. This different from similar, bacterial RNase E-based BR bodies, involved in active RNA decay."
balbiani_body,cdcode,Balbiani body,"Germ plasm in developing oocytes of vertebrates is localized into a special membrane-less structure called Balbiani body (Bb).  Bb is packed with RNAs, mitochondria, Golgi and endoplasmic reticulum."
balbiani_body,cdcode,MARDO,MARDO (Mitochondria-Associated Ribonucleoprotein DOmain) is a mitochondria-associated condensate that is described to store maternal mRNAs in the oocyte
balbiani_body,cdcode,Mitochondrial cloud,"Germ plasm in developing oocytes of vertebrates is localized into a special membrane-less structure called Balbiani body (Bb).  Bb is packed with RNAs, mitochondria, Golgi and endoplasmic reticulum. Bb in Xenopus is termed mitochondrial cloud ."
balbiani_body,drllps,Balbiani body,"The Balbiani body is a structure conserved from insects to humans that appears as a large granule, similar to a mRNP granule composed of mRNA and proteins. It has amyloid-like properties and can connect cortical actin. In addition, Wilsch-Bräuninger et al. suggest that the sponge bodies, a subcellular structure in nurse cells and oocytes, are homologous to the mitochondrial cloud in Xenopus oocytes."
balbiani_body,phasepdb,Balbiani body,"Early oocytes of almost all studied animal species contain transient organelle assemblage called the Balbiani body (Bb) or “mitochondrial cloud”[1]. Bb in various species became extremely confusing and the name Balbiani body has been substituted with terms such as yolk nucleus/body/complex, vitelline/nucleus/body, mitochondrial cloud/mass/aggregate, sponge body or even, erroneously, has been equated to the germ plasm. The structure and composition of the Bb differ between species, it is highly dynamic during oocyte growth and in many instances its function(s) remains either highly hypothetical or completely unknown[2]. Bb always contains two essential elements: numerous tightly clustered mitochondria and accumulations of electron-dense granulo-fibrillar material, known as the nuage[1]."
balbiani_body,phasepro,mitochondrial cloud,A prominent mass in the cytoplasm of previtellogenic oocytes. The cloud contains both mitochondria and electron-dense granulofibrillar material (GFM) and is the source of germinal granule material.
baz2a_body,cdcode,BAZ2A bodies,"-BAZ2A bodies form in the nucleus and their presence is enhanced by increased concentrations of crowding agents (i.e. PEG8000) and their frequency and size is reduced with increased 16-hexanediol concentration.
https://pubmed.ncbi.nlm.nih.gov/38599210/"
cajal_body,cdcode,Cajal body,Cajal bodies are nuclear bodies which are composed of the scaffolding protein  Coilin and high concentrations of small nuclear ribonucleoproteins (snRNPs) which are involved in pre-mRNA splicing.These condensates are also suggested to contribute to RNA metabolism including snRNP biogenesis and telomerase biogenesis.
cajal_body,drllps,Cajal body,Cajal
cajal_body,phasepdb,Cajal body,"Cajal body (CB) contributes to the biogenesis of small nuclear RNPs (snRNPs), which are involved in pre-mRNA splicing. In addition to snRNPs, CBs also contain another type of RNP: small Cajal body-specific RNPs (scaRNPs). The presence of scaRNPs in the CB serves to modify the snRNA component of snRNPs. CBs also take part in the biogenesis of small nucleolar RNPs (snoRNPs). Like scaRNPs, there are 2 classes of snoRNPs: box H/ACA and box C/D. CBs also contain the RNP responsible for the formation of telomeres, telomerase. Along with snRNPs, scaRNPs and telomerase, the CB is enriched for many proteins[1]. Neuronal CBs concentrate coilin, fibrillarin, SMN (survival of motor neuron) and components of the splicing machinery indicating that they are canonical CBs potentially engaged in the assembly and maturation of spliceosomal snRNPs[2]. Fam118B was identified in a screen for coilin interacting proteins[1]. WRAP53β plays a central role in the maintenance of the nuclear organelles known as Cajal bodies, recruiting factors such as the SMN protein, scaRNAs and telomerase to these bodies[3]. Recent work has found that CB association with certain gene loci contributes to genome organization, especially of chromosome 1, and CBs impact the expression of many genes and RNA splicing. Since the CB plays an important role in the biogenesis of snRNP, scaRNP, snoRNP and telomerase, all of which are required for efficient and rapid cell proliferation, identification of signaling pathways that could be inhibited should be of therapeutic value in the treatment of cancer[1]."
carboxysome,cdcode,Carboxysome,Carboxysome is a bacterial organelle that has properties of a biomolecular condensate. Rubisco condensates formation is proposed to optimize the process of photosynthetic carbon fixation.
carboxysome,cdcode,Enzyme_shell proteins condensates,The shell protein PduBB0 interacts with the enzyme diol-dehy- dratase PduCDE and co-assemble into phase separated liquid droplets. The co-assembly of PduCDE and PduBB0 results in the enhancement of catalytic activity of the enzyme
