Nombre Original,Nombre Sugerido,Categoria,Justificacion Biologica
a matrix holding together clusters of synaptic vesicles (SVs),synapsin_condensate,Neuronal,Matriz que agrupa vesículas sinápticas organizada por sinapsina via LLPS; equivalente funcional al synapsin condensate [PMID:32101738]
Actin cortical patch,actin_cortical_patch,Citoesqueleto,Estructura de actina ramificada en membrana plasmática en levaduras; condensado distinto sin equivalente en células de mamífero
Adhesin nanodomain,adhesin_nanodomain,Membrana,Dominio de fase separada en superficie celular fúngica; estructura única sin equivalente canónico [PMID:29187516]
Anisosome,anisosome,Nuclear,Condensado core-shell con propiedades de cristal líquido formado por TDP-43 deficiente en ARN [PMID:33335017]
Arp2/3 protein complex,DISCARD,—,Complejo proteico estructural; no es un MLO sino una máquina molecular. Término GO no aplicable aquí
axonal TIAR-2 granules,axonal_tiar2_granule,Neuronal,"Gránulos axonales formados post-lesión en C. elegans; inhiben la regeneración del cono axonal via PrLD. Estímulo, localización y función distintos al stress granule canónico — la homología con TIA-1 no implica identidad de compartimento. [PMID:31378567]"
bacterial RNP-bodies (BR-bodies),bacterial_rnp_body,Procariota,Gránulos de RNP bacterianos; condensados procariotas sin equivalente en eucariotas
Balbiani body,balbiani_body,Germinal,Condensado de oocito temprano con propiedades sólidas; conservado en metazoos [PMID:28755153]
basal Numb-Pon crescent in dividing neuroblasts,polarity_condensate,Neuronal,Condensado de polaridad celular en neuroblastos; agrupa con otros condensados de polaridad tipo Par complex
Cajal body,cajal_body,Nuclear,Centro de ensamblaje de snRNPs y scaRNPs; marcado por coilina [PMID:27819531]
Carboxysome,carboxysome,Procariota,Compartimento de fijación de CO2 en cianobacterias; análogo prokariota al pirenoide [PMID:34759380]
Centrosome,centrosome,Citoesqueleto,MTOC animal; PCM se ensambla por LLPS [PMID:29258725]
Centrosome/,centrosome,Citoesqueleto,Entrada malformada en DrLLPS (truncada); equivalente a Centrosome
cGAS-DNA complex,cgas_dna_complex,Citoplasmático,Condensado de cGAS con DNA; activa señalización innata [PMID:29976794]
cGAS foci,cgas_dna_complex,Citoplasmático,Variante de nombre para el mismo condensado de cGAS
Chromatin,chromatin_compartment,Nuclear,Subcompartimentos de cromatina por LLPS; incluye hetero y eucromatina como fases separadas [PMID:29628210]
Chromatoid body,chromatoid_body,Germinal,"Gránulo post-meiótico en espermátidas, asociado al aparato de Golgi. Distinto del IMC (meiótico, perinuclear, asociado a mitocondrias): composición molecular diferente, estadio diferente. Se separa de nuage. [PMID:30086300, PMID:19730684]"
Cleavage body,cleavage_body,Nuclear,Cuerpo nuclear asociado a procesamiento de ARN; sin equivalente directo con otro MLO conocido
collagen-containing extracellular matrix,DISCARD,—,Matriz extracelular con membrana; no es un MLO. Término GO estructural
condensed compartments of microtubule bundling,spindle_apparatus,Citoesqueleto,Compartimentos condensados asociados al ensamblaje del huso; agrupa con spindle_apparatus
Contractile ring,contractile_ring,Citoesqueleto,Anillo contráctil de citocinesis; condensado de actomiosina distinto; sin equivalente directo
cytoplasmic microtubule,DISCARD,—,Término estructural GO; no es un MLO sino un componente del citoesqueleto
cytoplasmic protein granule,cytoplasmic_protein_granule,Citoplasmático,Término genérico de granulo proteico citoplasmático; mantener como catch-all para entradas no clasificables
cytoplasmic ribonucleoprotein granule,cytoplasmic_rnp_granule,Citoplasmático,RNP granule citoplasmático genérico; distinto de stress granule y P-body específicos
cytoplasmic stress granule,stress_granule,Citoplasmático,Sinónimo explícito de stress granule [PMID:17284590]
cytoplasmic viral factory,viral_factory,Viral,Fábrica viral citoplasmática; agrupa con otras fábricas virales
DDX1 body,ddx1_body,Nuclear,Cuerpo nuclear fluido asociado a procesamiento de pre-ARNm; distinto de Cajal body y nuclear speckle
dense fibrillar component,nucleolus,Nuclear,Subestructura del nucleolo; colapsada por falta de anotación consistente a nivel de subestructura
DNA damage foci,dna_damage_foci,Nuclear,Focos de respuesta a daño en DNA; condensados de DSB [PMID:25773265]
Droplet,in_vitro_droplet,In vitro,LLPS determinado exclusivamente in vitro en DrLLPS
