accesion_obsoleta,accesion_vigente,motivo
A0A023T4K3,P49029,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A0A087X0M4,Q9BWU0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A0A0B4KH25,P08985,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A3KFL4,Q13868,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A6NIT8,P14866,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A6NN01,Q71UI9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A6NNR3,P62136,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A8CZ64,P28482,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A8MWI8,Q99832,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A8MY67,P30154,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
A8MZ62,P40937,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B3H5K3,B6EUB3,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B3KRS5,Q92769,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DDP6,Q9UJU6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DEM2,Q9UJU6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DGB4,P13797,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DJ10,Q9P2J5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DJP7,P62318,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DK30,Q15029,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DLA9,Q5QNW6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DN45,P31153,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DNT0,P30740,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DP75,Q99623,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DQW2,Q08J23,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DT35,Q7Z3B4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DVV9,Q96GC9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DX68,Q96KB5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DY47,P35232,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B4DYV2,Q9NXF1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7Z1R5,P38606,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7Z3X6,O94875,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7Z4T9,Q99832,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7Z4Z7,Q99832,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7Z6M1,P13797,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7ZKM0,Q15020,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
B7ZPG0,Q7T3U0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
C9J7P1,Q9UJU6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
C9JGC4,Q8NBT2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
C9JT33,Q9NZI8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
C9JYS3,Q9UM22,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
E7EPK6,P62847,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
E9PAS5,O94875,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
E9PFU1,Q8WUM4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
E9PH29,P30048,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
E9QAS7,Q7TNC9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F1LN59,Q5BJU2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5GY65,Q02978,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5GYZ3,Q15233,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5H1S2,P26373,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5H5W3,P50991,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8VTJ5,Q8TAQ2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W720,P49915,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W7P3,P35030,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W8G1,P30154,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G3V1C3,Q9BZZ5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G3V1R4,Q08J23,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G8JLD5,O00429,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O02916,Q9BWF3,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O14547,Q6P2Q9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O14897,Q8NE71,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O15441,Q9BZZ5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O43328,Q1ED39,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O75992,Q68CQ4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
P29043,P50454,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
P35544,P62861,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q07161,P62136,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q12803,Q08211,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q12987,Q5QJE6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q14281,Q7L1Q6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q14981,Q14980,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q16051,Q14527,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q2TU79,Q9P2J5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q5SZ07,P51858,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q5SZ08,P51858,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z481,Q9Y2L1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z5E3,O75367,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z638,Q5BKZ1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86T58,Q9H2Y7,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86UC4,Q9BXY0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86VM3,Q9BQG0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IU69,Q8IUF8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IUK7,P02768,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IVL9,Q9P258,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IVR9,Q9Y3A4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IW16,Q96MG7,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IWG8,Q5T3I0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IY12,Q96SB4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
