uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
Q5JVS0	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q7Z3E1	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
O43791	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q9UPQ9	CDCODE	miRISC condensate	mirisc	NotInformed		1	NULL	NULL
P0A9A6	CDCODE	FtsZ condensate	ftsz_droplet	NotInformed		1	NULL	NULL
Q02794	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed		1	NULL	NULL
P05067	CDCODE	Nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q5BI67	CDCODE	Sec-body	sec_body	NotInformed		1	NULL	NULL
P91870	CDCODE	Pericentriolar matrix	centrosome	NotInformed		1	NULL	NULL
Q13342	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
A0QSY1	CDCODE	ABC transporter condensate	bacterial_rnp_body	NotInformed		1	NULL	NULL
Q00613	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
A1Z813	CDCODE	Sec-body	sec_body	NotInformed		1	NULL	NULL
Q8MT06	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
Q14149	CDCODE	MORC3 nuclear body	morc3_nuclear_body	NotInformed		1	NULL	NULL
Q22053	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
Q04726	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P14866	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P35972	CDCODE	Viral factory	viral_factory	NotInformed		1	NULL	NULL
Q16082	CDCODE	Nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q14103	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P09651	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q9GZV5	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P50750	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P08047	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
B1PRL2	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P35222	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P31271	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q15059	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q15648	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q01844	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q13950	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P20226	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P35453	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q13627	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P40763	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q9Y2X0	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
O60885	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P03372	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q16236	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q16198	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q15561	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P05453	CDCODE	Sup35 condensate	sup35_condensate	NotInformed		1	NULL	NULL
Q13501	CDCODE	P62 body	p62_body	NotInformed		1	NULL	NULL
Q500V5	CDCODE	Heterochromatin	heterochromatin	NotInformed		1	NULL	NULL
P26568	CDCODE	Heterochromatin	heterochromatin	NotInformed		1	NULL	NULL
Q9UPQ9	CDCODE	GW-body	p_body	NotInformed		1	NULL	NULL
P0C093	CDCODE	FtsZ/SlmA body	ftsz_droplet	NotInformed		1	NULL	NULL
P26569	CDCODE	Heterochromatin	heterochromatin	NotInformed		1	NULL	NULL
P35974	CDCODE	Viral factory	viral_factory	NotInformed		1	NULL	NULL
P46937	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P23771	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P08621	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q12888	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q9UER7	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P02545	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q14103	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q15648	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q01844	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
O60885	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q12988	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P43243	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P09651	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P06401	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q7YU08	CDCODE	Nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q9W1V3	CDCODE	Nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q22053	CDCODE	Dense fibrillar component	nucleolus	NotInformed		1	NULL	NULL
M9NFQ7	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
Q7KTV5	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
M9PF20	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
Q8SWR8	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
M9NFQ7	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
Q9VNF8	CDCODE	Sec-body	sec_body	NotInformed		1	NULL	NULL
P15502	CDCODE	Elastin granule	elastin_granule	NotInformed		1	NULL	NULL
Q02794	CDCODE	STD1 body	std1_body	NotInformed		1	NULL	NULL
G5EDE7	CDCODE	Pericentriolar matrix	centrosome	NotInformed		1	NULL	NULL
P03520	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed		1	NULL	NULL
Q07666	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P61978	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q9BXY0	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q96MU7	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P38159	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q15424	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q5VWX1	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
Q8NEJ9	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed		1	NULL	NULL
P34761	CDCODE	WHI3 cluster	cytoplasmic_rnp_granule	NotInformed		1	NULL	NULL
P16554	CDCODE	Numb/Pon condensate	polarity_condensate	NotInformed		1	NULL	NULL
Q9W4I7	CDCODE	Numb/Pon condensate	polarity_condensate	NotInformed		1	NULL	NULL
P20028	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
P91349	CDCODE	Pericentriolar matrix	centrosome	NotInformed		1	NULL	NULL
Q9N3P1	CDCODE	Z-granule	z_granule	NotInformed		1	NULL	NULL
Q7ZXV8	CDCODE	Spindle matrix	spindle_apparatus	NotInformed		1	NULL	NULL
Q54VP4	CDCODE	HSP condensate	signaling_condensate	NotInformed		1	NULL	NULL
Q07352	CDCODE	TIS granule	tis_granule	NotInformed		1	NULL	NULL
Q92804	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q16082	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
O62275	CDCODE	Z-granule	z_granule	NotInformed		1	NULL	NULL
Q07889	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed		1	NULL	NULL
Q9UKV8	CDCODE	miRISC condensate	mirisc	NotInformed		1	NULL	NULL
P84022	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q8SWR8	CDCODE	Neuronal RNP granule	neuronal_granule	NotInformed		1	NULL	NULL
P0A9A6	CDCODE	FtsZ/SlmA body	ftsz_droplet	NotInformed		1	NULL	NULL
Q01860	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
P23771	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed		1	NULL	NULL
Q8L3W1	CDCODE	VRN1 nuclear body	nuclear_body	NotInformed		1	NULL	NULL
Q9VBP3	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
P38996	CDCODE	NAB3 nuclear body	nuclear_body	NotInformed		1	NULL	NULL
P03521	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed		1	NULL	NULL
Q9W1V3	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
Q9VD51	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
P22363	CDCODE	Negri body	negri_body	NotInformed		1	NULL	NULL
P08287	CDCODE	Euchromatin	chromatin_compartment	NotInformed		1	NULL	NULL
P62993	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed		1	NULL	NULL
O43561	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed		1	NULL	NULL
O62011	CDCODE	MUTator foci	mutator_foci	NotInformed		1	NULL	NULL
O74718	CDCODE	Sup35 condensate	sup35_condensate	NotInformed		1	NULL	NULL
Q03940	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed		1	NULL	NULL
Q8NDV7	CDCODE	GW-body	p_body	NotInformed		1	NULL	NULL
P03523	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed		1	NULL	NULL
Q9BJZ5	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
Q9UKV8	CDCODE	GW-body	p_body	NotInformed		1	NULL	NULL
P04050	CDCODE	RNA polymerase clusters	transcriptional_condensate	NotInformed		1	NULL	NULL
P45973	CDCODE	Heterochromatin	heterochromatin	NotInformed		1	NULL	NULL
Q14781	CDCODE	Heterochromatin	heterochromatin	NotInformed		1	NULL	NULL
A0A0B4K7A6	CDCODE	Nucleolus	nucleolus	NotInformed		1	NULL	NULL
Q7JXA2	CDCODE	Stress granule	stress_granule	NotInformed		1	NULL	NULL
Q92804	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed		1	NULL	NULL
