unified_mlo,current_category,compartment_class,taxonomic_scope,taxonomic_evidence_frac,cell_type_context,functional_process,physiological_state
NotInformed,Unspecified,,metazoa,0.78,none,,physiological
abscission_checkpoint_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
actin_cortical_patch,Citoesqueleto,cytosol,metazoa,1.0,none,,physiological
adhesin_nanodomain,Membrana,membrane_associated,unknown,,none,,physiological
aggresome,Citoplasmático,cytosol,bacteria,1.0,none,protein_quality_control,pathological
amyloid_aggregate,Citoplasmático,cytosol,fungi,1.0,none,,physiological
amyloid_body,Nuclear,nucleoplasm,metazoa,1.0,none,,pathological
anisosome,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
ankle_link_condensate,Membrana,membrane_associated,metazoa,1.0,none,adhesion,physiological
antiviral_condensate,Citoplasma,cytosol,plants_algae,1.0,none,host_pathogen,physiological
assemblysome,Nuclear,nucleoplasm,metazoa (mixed),0.5,none,,physiological
axonal_tiar2_granule,Neuronal,cytosol,metazoa,1.0,neuron,,physiological
bacterial_rnp_body,Procariota,cytosol,bacteria,0.92,none,rna_metabolism,physiological
bag2_condensate,Citoplasma,cytosol,metazoa,1.0,none,,physiological
balbiani_body,Germinal,cytosol,metazoa,1.0,germline,,physiological
baz2a_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
cajal_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
carboxysome,Procariota,cytosol,bacteria,1.0,none,metabolism,physiological
centrosome,Citoesqueleto,cytosol,metazoa,0.84,none,cell_division,physiological
cgas_dna_complex,Citoplasmático,cytosol,metazoa,1.0,none,signal_transduction,physiological
chloroplast_stress_granule,Plastídico,plastid,plants_algae,1.0,none,stress_response,physiological
chromatin_compartment,Nuclear,nucleoplasm,metazoa,0.86,none,,physiological
chromatoid_body,Germinal,cytosol,metazoa,1.0,germline,,physiological
chromogranin_condensate,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
cleavage_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
cojusome,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
contractile_ring,Citoesqueleto,cytosol,fungi,1.0,none,cell_division,physiological
cortical_condensate,Membrana,membrane_associated,metazoa,1.0,none,,physiological
cytoplasmic_nucleoporin_granule,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
cytoplasmic_protein_granule,Citoplasmático,cytosol,metazoa,0.82,none,,physiological
cytoplasmic_rnp_granule,Citoplasmático,cytosol,metazoa,0.79,none,rna_metabolism,physiological
d_granule,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
ddx1_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
degradosome,Procariota,cytosol,bacteria,1.0,none,rna_metabolism,physiological
dna_damage_foci,Nuclear,nucleoplasm,metazoa,0.94,none,dna_repair,physiological
dps_condensate,Procariota,cytosol,bacteria,1.0,none,,physiological
elastin_granule,Extracelular,extracellular,metazoa,1.0,none,,physiological
elks_condensate,Neuronal,cytosol,metazoa,1.0,neuron,,physiological
elva,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
endocytic_condensate,Membrana,membrane_associated,fungi,1.0,none,,physiological
enhanceosome,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
enhancer_condensate,Nuclear,nucleoplasm,metazoa,1.0,none,transcription,physiological
eres_condensate,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
escrt_condensate,Membrana,membrane_associated,fungi,1.0,none,,physiological
exosomal_condensate,Extracelular,extracellular,metazoa,1.0,none,,physiological
ferritin_condensate,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
fip200_puncta,Autofagia,cytosol,metazoa,1.0,none,,physiological
frq_condensate,Citoplasmático,cytosol,fungi,1.0,none,,physiological
ftsz_droplet,Procariota,cytosol,bacteria,1.0,none,cell_division,physiological
galectin_condensate,Membrana,membrane_associated,metazoa,1.0,none,,physiological
galectin_lattice,Membrana,membrane_associated,metazoa,1.0,none,adhesion,physiological
gbpl_condensate,Vegetal,cytosol,plants_algae,1.0,none,,physiological
gem,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
germ_plasm,Germinal,cytosol,metazoa,1.0,germline,,physiological
glycolytic_body,Citoplasmático,cytosol,fungi,0.78,none,metabolism,physiological
golgin_condensate,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
haemoglobin_body,Citoplasma,cytosol,metazoa,1.0,none,,physiological
heterochromatin,Nuclear,nucleoplasm,metazoa,0.84,none,,physiological
hippo_condensate,Membrana,membrane_associated,metazoa,1.0,none,signal_transduction,physiological
histone_locus_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
hyperosmotic_shock_foci,Citoplasmático,cytosol,fungi,1.0,none,stress_response,physiological
icp22_condensate,Viral,cytosol,viruses,1.0,none,,physiological
in_vitro_droplet,In vitro,cell_free,metazoa,0.79,none,,engineered
inava_condensate,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
inclusion_body,Patológico,cytosol,metazoa (mixed),0.55,none,protein_quality_control,pathological
inflammasome,Citoplasmático,cytosol,metazoa,1.0,none,signal_transduction,physiological
inq_compartment,Nuclear,nucleoplasm,fungi,1.0,none,,physiological
insulator_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
integrin_adhesion_complex,Membrana,membrane_associated,metazoa,1.0,none,adhesion,physiological
intracellular_dna_protein_granule,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
kat6a_condensate,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
l_body,Germinal,cytosol,metazoa,1.0,germline,,physiological
liquid_dyrk3_speckle,Nuclear/Mitótico,nucleoplasm,metazoa,1.0,none,,physiological
mardo,Germinal,cytosol,metazoa,1.0,germline,,physiological
mast_cell_granule,Secretor,membrane_associated,metazoa,1.0,none,,physiological
maternal_mrna_condensate,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
mcd_condensate,Procariota,cytosol,bacteria,1.0,none,,physiological
mediator_condensate,Nuclear,nucleoplasm,metazoa,0.88,none,transcription,physiological
mesh_condensate,Citoplasma,cytosol,metazoa,1.0,none,,physiological
midbody_granule,Mitótico,cytosol,metazoa,1.0,none,,physiological
mirisc,Citoplasmático,cytosol,metazoa,1.0,none,rna_metabolism,physiological
mitochondrial_nucleoid,Mitocondrial,mitochondrial,metazoa,1.0,none,,physiological
mitochondrial_rna_granule,Mitocondrial,cytosol,metazoa,1.0,none,rna_metabolism,physiological
morc3_nuclear_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
mutator_foci,Germinal,cytosol,metazoa,1.0,germline,,physiological
necrosome,Citoplasmático,cytosol,metazoa,1.0,none,signal_transduction,physiological
negri_body,Viral,cytosol,viruses,1.0,none,,physiological
neuronal_granule,Neuronal,cytosol,metazoa,1.0,neuron,rna_metabolism,physiological
nikr_compartment,Procariota,cytosol,bacteria,1.0,none,,physiological
nono_condensate,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
norad_pum_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
npr1_condensate,Citoplasmático,cytosol,unknown,,none,,physiological
nuage,Germinal,cytosol,metazoa,1.0,germline,,physiological
nuclear_body,Nuclear,nucleoplasm,metazoa,0.94,none,,physiological
nuclear_dicing_body,Nuclear,nucleoplasm,plants_algae,1.0,none,,physiological
nuclear_pore_complex,Nuclear,nucleoplasm,metazoa,0.88,none,,physiological
nuclear_protein_granule,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
nuclear_speckle,Nuclear,nucleoplasm,metazoa,0.98,none,rna_metabolism,physiological
nuclear_stress_body,Nuclear,nucleoplasm,metazoa,1.0,none,stress_response,physiological
nucleolus,Nuclear,nucleoplasm,metazoa,0.68,none,,physiological
opt_domain,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
oskar_granule,Germinal,cytosol,metazoa,1.0,germline,,physiological
p62_body,Citoplasmático,cytosol,metazoa,1.0,none,protein_quality_control,physiological
p_body,Citoplasmático,cytosol,metazoa,0.87,none,rna_metabolism,physiological
p_granule,Germinal,cytosol,metazoa,1.0,germline,,physiological
pab2_condensate,Nuclear,nucleoplasm,fungi,1.0,none,,physiological
parabs_condensate,Procariota,cytosol,bacteria,1.0,none,cell_division,physiological
paraspeckle,Nuclear,nucleoplasm,metazoa,1.0,none,rna_metabolism,physiological
perinucleolar_compartment,Nuclear,nucleoplasm,fungi (mixed),0.57,none,,physiological
pi_body,Germinal,cytosol,metazoa,1.0,germline,,physiological
plant_photobody,Plastídico,nucleoplasm,plants_algae,1.0,none,transcription,physiological
plant_signaling_condensate,Citoplasmático,cytosol,plants_algae,1.0,none,signal_transduction,physiological
pml_nuclear_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
polarisome,Citoesqueleto,cytosol,fungi,1.0,none,,physiological
polarity_condensate,Neuronal,cytosol,metazoa,0.6,neuron,cell_polarity,physiological
polycomb_body,Nuclear,nucleoplasm,metazoa,1.0,none,transcription,physiological
polyp_granule,Procariota,cytosol,bacteria,1.0,none,metabolism,physiological
postsynaptic_density,Neuronal,cytosol,metazoa,1.0,neuron,,physiological
pre_autophagosomal_structure,Citoplasmático,cytosol,fungi,0.94,none,protein_quality_control,physiological
presynaptic_active_zone,Neuronal,cytosol,metazoa,1.0,neuron,,physiological
proteasome_foci,Nuclear,nucleoplasm,metazoa,0.66,none,protein_quality_control,physiological
purinosome,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
pyrenoid,Plastídico,plastid,plants_algae,0.63,none,metabolism,physiological
refractile_body,Procariota,cytosol,protists,1.0,none,,physiological
replication_compartment,Viral/Nuclear,nucleoplasm,viruses,0.86,none,host_pathogen,physiological
rho_body,Procariota,cytosol,metazoa,1.0,none,,physiological
rna_helicase_condensate,Citoplasma,cytosol,metazoa,1.0,none,,physiological
rosenthal_fiber,Patológico,cytosol,unknown,,none,,pathological
sam68_nuclear_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
sars_cov2_n_condensate,Viral,cytosol,viruses,0.69,none,host_pathogen,physiological
sec_body,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
sex_body,Nuclear,nucleoplasm,metazoa,1.0,none,dna_repair,physiological
signaling_cluster,Membrana,membrane_associated,metazoa,1.0,none,signal_transduction,physiological
signaling_condensate,Citoplasmático,cytosol,metazoa,0.91,none,signal_transduction,physiological
simr_foci,Germinal,cytosol,metazoa,1.0,germline,,physiological
sint_speckle,Citoplasmático,nucleoplasm,metazoa,1.0,none,,physiological
sirna_body,Citoplasmático,cytosol,plants_algae,1.0,none,rna_metabolism,physiological
slit_diaphragm_condensate,Membrana,membrane_associated,metazoa,1.0,none,,physiological
smn_complex,Nuclear/Citoplasmático,nucleoplasm,metazoa,1.0,none,,physiological
spider_silk_condensate,Extracelular,extracellular,metazoa,1.0,none,,physiological
spindle_apparatus,Citoesqueleto,cytosol,metazoa,0.64,none,cell_division,physiological
spindle_pole_body,Citoesqueleto,cytosol,metazoa,0.83,none,cell_division,physiological
spliceosome,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
sponge_body,Germinal,cytosol,metazoa,1.0,germline,,physiological
spop_daxx_body,Nuclear,nucleoplasm,metazoa,1.0,none,,physiological
std1_body,Citoplasmático,cytosol,fungi,1.0,none,,physiological
sting_phase_separator,Citoplasmático,cytosol,metazoa,1.0,none,,physiological
stress_granule,Citoplasmático,cytosol,metazoa,0.87,none,stress_response,physiological
sup35_condensate,Citoplasmático,cytosol,fungi,1.0,none,,physiological
synapsin_condensate,Neuronal,cytosol,metazoa,1.0,neuron,,physiological
t_cell_signalosome,Membrana,membrane_associated,metazoa,1.0,none,signal_transduction,physiological
