source_name,unified_mlo,category,verdict,n_prot,resources,n_org,rationale
Actin cortical patch,actin_cortical_patch,Citoesqueleto,correct,0,,,Case variant.
BR-body,bacterial_rnp_body,Procariota,correct,14,CDCODE,7.0,BR-bodies are the bacterial RNP bodies.
bacterial RNP-bodies (BR-bodies),bacterial_rnp_body,Procariota,correct,1,PhasePro,1.0,Direct match.
Carboxysome,carboxysome,Procariota,correct,3,"CDCODE,PhaSepDB",2.0,Direct match.
pericentriolar material,centrosome,Citoesqueleto,correct,1,PhasePro,1.0,PCM is the condensate phase of the centrosome.
Pericentriolar compartment,centrosome,Citoesqueleto,correct,2,CDCODE,2.0,Same PCM structure.
cGAS foci,cgas_dna_complex,Citoplasmático,correct,4,"CDCODE,PhasePro",2.0,cGAS-DNA foci are the same nucleoprotein condensate.
Chloroplast Stress granule,chloroplast_stress_granule,Plastídico,correct,79,CDCODE,2.0,"Correctly kept separate: plastid-localised, compositionally distinct from cytoplasmic stress granules."
Chromatin,chromatin_compartment,Nuclear,correct,1,DrLLPS,1.0,Generic chromatin label matching the generic canonical.
Chromogranin condensates,chromogranin_condensate,Citoplasmático,correct,3,CDCODE,3.0,Direct match.
Contractile ring condensate,contractile_ring,Citoesqueleto,correct,1,CDCODE,1.0,Direct match.
Contractile ring,contractile_ring,Citoesqueleto,correct,0,,,Case variant.
Cpeb1b-Pabpc1b-shh Condensate,cytoplasmic_rnp_granule,Citoplasmático,correct,3,CDCODE,1.0,Maternal mRNA-binding RNP condensate in zebrafish; within the generic cytoplasmic RNP granule class.
WHI3 cluster,cytoplasmic_rnp_granule,Citoplasmático,correct,1,CDCODE,1.0,Whi3 RNA-binding protein granules in Ashbya; RNP granule by composition.
MEX3B granule,cytoplasmic_rnp_granule,Citoplasmático,correct,1,CDCODE,1.0,MEX3B is an RNA-binding protein forming cytoplasmic RNP granules.
PARP1-DNA condensate,dna_damage_foci,Nuclear,correct,3,CDCODE,1.0,PARP1-DNA condensates form at damage sites and nucleate the repair focus; merge is consistent with the canonical's scope.
SOSS-INTAC Condensate,dna_damage_foci,Nuclear,correct,5,CDCODE,1.0,SOSS-Integrator condensates assemble at DNA damage sites for resection/repair; within scope.
Ede1 condensate,endocytic_condensate,Membrana,correct,11,CDCODE,1.0,Ede1 nucleates yeast endocytic-site condensates.
Endocytic condensates,endocytic_condensate,Membrana,correct,3,CDCODE,1.0,Plural variant.
nuclear bodies that occur at super enhancers in mESCs,enhancer_condensate,Nuclear,correct,2,PhasePro,1.0,"Descriptive phrasing of super-enhancer condensates; correct target, but the label should be normalised rather than stored verbatim."
robustly E2-activated enhancers (MegaTrans) enhancers,enhancer_condensate,Nuclear,correct,2,PhasePro,1.0,"MegaTrans complexes at estrogen-activated enhancers; correct target, malformed label."
Enhancer cluster,enhancer_condensate,Nuclear,correct,1,CDCODE,1.0,Direct match.
MegaTrans enhancer complex,enhancer_condensate,Nuclear,correct,2,CDCODE,1.0,Direct match.
ERES,eres_condensate,Citoplasmático,correct,8,CDCODE,1.0,ER exit sites; standard abbreviation.
SDC4 exosomal condensate,exosomal_condensate,Extracelular,correct,1,CDCODE,1.0,Syndecan-4-dependent exosomal cargo condensate.
Ftsz-rich droplets at specific chromosomal DNA sites,ftsz_droplet,Procariota,correct,2,PhasePro,1.0,FtsZ condensates; verbose label.
FtsZ/SlmA body,ftsz_droplet,Procariota,correct,2,CDCODE,1.0,SlmA-FtsZ nucleoid occlusion bodies; FtsZ condensate.
FtsZ condensate,ftsz_droplet,Procariota,correct,1,CDCODE,1.0,Direct match.
galectin complex,galectin_lattice,Membrana,correct,1,PhasePro,1.0,The galectin-glycan lattice is the assembly named.
SMN1 nuclear body,gem,Nuclear,correct,1,CDCODE,1.0,Gems are SMN-containing nuclear bodies; SMN1 nuclear body is the same structure named by its scaffold.
