unified_mlo,name_a,name_b,n_a,n_b,shared,overlap_coef,same_resource,shared_organism,res_a,res_b
actin_cortical_patch,Actin nucleator,Cobl condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
actin_cortical_patch,Actin nucleator,actin cortical patch,1,3,0,0.0,False,True,CDCODE,PhasePro
actin_cortical_patch,Cobl condensate,actin cortical patch,1,3,0,0.0,False,False,CDCODE,PhasePro
ankle_link_condensate,Ankle Link Complex (ALC) Condensate,Row 1-specific tip complex condensates,4,4,0,0.0,True,False,CDCODE,CDCODE
bacterial_rnp_body,ABC transporter condensate,BR-bodies,2,2,0,0.0,False,False,CDCODE,PhaSepDB
bacterial_rnp_body,ABC transporter condensate,BR-body,2,14,0,0.0,True,False,CDCODE,CDCODE
bacterial_rnp_body,ABC transporter condensate,bacterial RNP-bodies (BR-bodies),2,1,0,0.0,False,False,CDCODE,PhasePro
bacterial_rnp_body,BR-bodies,BR-body,2,14,0,0.0,False,False,PhaSepDB,CDCODE
bacterial_rnp_body,BR-bodies,bacterial RNP-bodies (BR-bodies),2,1,0,0.0,False,False,PhaSepDB,PhasePro
bacterial_rnp_body,BR-body,bacterial RNP-bodies (BR-bodies),14,1,1,1.0,False,True,CDCODE,PhasePro
balbiani_body,Balbiani body,Mitochondrial cloud,342,598,53,0.155,True,True,"CDCODE,DrLLPS,PhaSepDB,PhasePro",CDCODE
balbiani_body,Balbiani body,mitochondrial cloud,342,2,2,1.0,True,True,"CDCODE,DrLLPS,PhaSepDB,PhasePro",PhasePro
balbiani_body,Mitochondrial cloud,mitochondrial cloud,598,2,0,0.0,False,False,CDCODE,PhasePro
carboxysome,Carboxysome,Enzyme_shell proteins condensates,3,2,0,0.0,True,False,"CDCODE,PhaSepDB",CDCODE
centrosome,Centrosome,Pericentriolar compartment,972,2,0,0.0,True,True,"CDCODE,PhaSepDB",CDCODE
centrosome,Centrosome,Pericentriolar material,972,3,1,0.333,True,True,"CDCODE,PhaSepDB",CDCODE
centrosome,Centrosome,Pericentriolar matrix,972,10,9,0.9,True,True,"CDCODE,PhaSepDB","CDCODE,DrLLPS,PhaSepDB"
