unified_mlo,CDCODE,DrLLPS,LLPSDB,PhaSepDB,PhasePro,n_resources,proteins_total,source_names,category
nucleolus,3721,3386,0,2187,5,4,5002,8,Nuclear
postsynaptic_density,1492,2793,0,124,2,4,2891,5,Neuronal
stress_granule,1694,1067,0,1739,18,4,2651,6,Citoplasmático
presynaptic_active_zone,1381,0,0,11,2,3,1383,4,Neuronal
NotInformed,0,0,0,1217,0,1,1217,1,Unspecified
p_body,988,373,0,487,9,4,1198,5,Citoplasmático
centrosome,969,1,0,27,1,4,977,5,Citoesqueleto
balbiani_body,612,7,0,332,2,4,887,3,Germinal
spindle_pole_body,0,872,0,0,0,1,872,1,Citoesqueleto
p62_body,9,0,0,780,1,3,785,5,Citoplasmático
pml_nuclear_body,561,72,0,326,1,4,774,3,Nuclear
nuclear_speckle,240,110,0,633,3,4,701,6,Nuclear
p_granule,64,37,0,562,5,4,594,5,Germinal
nuclear_stress_body,14,7,0,574,0,3,585,2,Nuclear
mast_cell_granule,533,0,0,0,0,1,533,1,Secretor
in_vitro_droplet,0,144,380,0,0,2,426,1,In vitro
tau_condensate,6,0,0,270,0,2,274,3,Neuronal
paraspeckle,75,31,0,259,3,4,272,3,Nuclear
cajal_body,90,40,0,215,0,3,256,1,Nuclear
nuclear_body,38,0,0,214,16,3,242,8,Nuclear
pyrenoid,84,181,0,0,2,3,182,3,Plastídico
transcriptional_condensate,97,0,0,107,2,3,163,20,Nuclear
neuronal_granule,110,49,0,10,5,4,113,8,Neuronal
chromatoid_body,109,106,0,0,0,2,109,1,Germinal
spindle_apparatus,13,64,0,10,2,4,86,9,Citoesqueleto
l_body,10,0,0,76,0,2,83,2,Germinal
chloroplast_stress_granule,79,0,0,0,0,1,79,1,Plastídico
inclusion_body,40,0,0,50,3,3,78,7,Patológico
cytoplasmic_rnp_granule,20,0,0,44,7,3,66,12,Citoplasmático
nuclear_pore_complex,51,4,0,56,3,4,63,3,Nuclear
dna_damage_foci,32,7,0,36,0,3,60,5,Nuclear
heterochromatin,10,0,0,51,4,3,52,3,Nuclear
z_granule,3,0,0,46,0,2,46,2,Germinal
mitochondrial_rna_granule,42,40,0,0,0,2,42,2,Mitocondrial
polycomb_body,35,29,0,10,1,4,40,3,Nuclear
viroplasm,13,0,0,23,3,3,36,3,Viral
signaling_cluster,25,1,0,15,3,4,30,3,Membrana
viral_factory,24,0,0,5,5,3,30,12,Viral
replication_compartment,17,0,0,6,0,2,21,6,Viral/Nuclear
