unified_mlo,source_mlo,resource,source_db_tags,term_status,in_served_data,category,verdict,proteins,assertions,organisms,top_organism,distinct_pmids,roles
DISCARD,Arp2/3 protein complex,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,collagen-containing extracellular matrix,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,cytoplasmic microtubule,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,extracellular matrix,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,intracellular non-membrane-bounded organelle,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,Microtubule,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,neuron projection,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,obsolete cytoskeletal part,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,PcG protein complex,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,protein-containing complex,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,protein complex involved in cell-cell adhesion,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,ribonucleoprotein complex,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,synaptosome,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,TRIM45 bodies,,,excluded_discard,no,,not_reviewed,0,0,0,,0,
DISCARD,"synaptosome, neuron projection",,,excluded_discard,no,,not_reviewed,0,0,0,,0,
NULL,Others,,,excluded_null,no,,not_reviewed,0,0,0,,0,
NULL,Others,,,excluded_null,no,,not_reviewed,0,0,0,,0,
NULL,_,,,excluded_null,no,,not_reviewed,0,0,0,,0,
NotInformed,NotInformed,PhaSepDB,PhaseDB|PhasePDB,served,yes,Unspecified,trivial_variant,1217,1217,108,Homo sapiens,985,driver
abscission_checkpoint_body,Abscission checkpoint body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,3,3,1,Homo sapiens,1,driver
actin_cortical_patch,actin cortical patch,PhasePro,PhasePro,served,yes,Citoesqueleto,trivial_variant,3,3,1,Homo sapiens,1,driver
