unified_mlo,category,assertions,proteins,resources,resource_list,organisms,distinct_pmids,source_names,reported_annotations,reported_proteins,inflation_factor,rank_reported,rank_dedup,rank_shift,support_tier
nucleolus,Nuclear,9299,5002,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",20,648,8,12690,5011,1.36,1.0,1.0,0.0,well_supported
stress_granule,Citoplasmático,4518,2651,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",31,821,6,7939,2838,1.76,2.0,2.0,0.0,well_supported
postsynaptic_density,Neuronal,4411,2891,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",3,290,5,4631,2957,1.05,3.0,3.0,0.0,well_supported
p_body,Citoplasmático,1857,1198,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",13,320,5,3243,1507,1.75,4.0,4.0,0.0,well_supported
presynaptic_active_zone,Neuronal,1394,1383,3,"CDCODE,PhaSepDB,PhasePro",5,9,4,1417,1383,1.02,10.0,5.0,5.0,well_supported
NotInformed,Unspecified,1217,1217,1,PhaSepDB,108,985,1,3027,1217,2.49,5.0,6.0,-1.0,well_supported
centrosome,Citoesqueleto,998,977,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",9,37,5,1069,978,1.07,13.0,7.0,6.0,well_supported
nuclear_speckle,Nuclear,986,701,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",10,415,6,2063,710,2.09,7.0,8.0,-1.0,well_supported
pml_nuclear_body,Nuclear,960,774,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",5,183,3,2055,798,2.14,8.0,9.0,-1.0,well_supported
balbiani_body,Germinal,953,887,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",4,10,3,1381,887,1.45,11.0,10.0,1.0,well_supported
spindle_pole_body,Citoesqueleto,872,872,1,DrLLPS,8,1127,1,910,910,1.04,14.0,11.0,3.0,well_supported
p62_body,Citoplasmático,790,785,3,"CDCODE,PhaSepDB,PhasePro",4,28,5,2801,785,3.55,6.0,12.0,-6.0,well_supported
p_granule,Germinal,668,594,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",4,62,5,1476,707,2.21,9.0,13.0,-4.0,well_supported
nuclear_stress_body,Nuclear,595,585,3,"CDCODE,DrLLPS,PhaSepDB",2,27,2,1141,585,1.92,12.0,14.0,-2.0,well_supported
mast_cell_granule,Secretor,533,533,1,CDCODE,3,0,1,533,533,1.0,21.0,15.0,6.0,well_supported
in_vitro_droplet,In vitro,524,426,2,"DrLLPS,LLPSDB",65,320,1,552,442,1.05,19.0,16.0,3.0,well_supported
paraspeckle,Nuclear,368,272,4,"CDCODE,DrLLPS,PhaSepDB,PhasePro",3,191,3,873,273,2.37,15.0,17.0,-2.0,well_supported
cajal_body,Nuclear,345,256,3,"CDCODE,DrLLPS,PhaSepDB",5,120,1,640,257,1.86,17.0,18.0,-1.0,well_supported
tau_condensate,Neuronal,276,274,2,"CDCODE,PhaSepDB",2,44,3,576,274,2.09,18.0,19.0,-1.0,well_supported
nuclear_body,Nuclear,268,242,3,"CDCODE,PhaSepDB,PhasePro",9,125,8,544,242,2.03,20.0,20.0,0.0,well_supported
pyrenoid,Plastídico,267,182,3,"CDCODE,DrLLPS,PhasePro",1,5,3,267,182,1.0,24.0,21.0,3.0,well_supported
