unified_mlo,n,driver,driver_share,has_bulk_client_source,n_resources,resources
NotInformed,1217,1217,1.0,0,1,PhaSepDB
inclusion_body,53,53,1.0,0,2,"PhaSepDB,PhasePro"
transcriptional_condensate,109,109,1.0,0,2,"PhaSepDB,PhasePro"
heterochromatin,55,55,1.0,0,2,"PhaSepDB,PhasePro"
in_vitro_droplet,524,520,0.992,1,2,"DrLLPS,LLPSDB"
centrosome,29,28,0.966,1,3,"DrLLPS,PhaSepDB,PhasePro"
dna_damage_foci,43,31,0.721,1,2,"DrLLPS,PhaSepDB"
nuclear_pore_complex,63,38,0.603,1,3,"DrLLPS,PhaSepDB,PhasePro"
viroplasm,26,12,0.462,1,2,"PhaSepDB,PhasePro"
cytoplasmic_rnp_granule,51,22,0.431,1,2,"PhaSepDB,PhasePro"
neuronal_granule,64,17,0.266,1,3,"DrLLPS,PhaSepDB,PhasePro"
nuclear_body,230,56,0.243,1,2,"PhaSepDB,PhasePro"
polycomb_body,40,8,0.2,1,3,"DrLLPS,PhaSepDB,PhasePro"
sam68_nuclear_body,24,4,0.167,1,3,"DrLLPS,PhaSepDB,PhasePro"
spindle_apparatus,76,10,0.132,1,3,"DrLLPS,PhaSepDB,PhasePro"
z_granule,46,5,0.109,1,1,PhaSepDB
p_body,869,82,0.094,1,3,"DrLLPS,PhaSepDB,PhasePro"
nuclear_speckle,746,55,0.074,1,3,"DrLLPS,PhaSepDB,PhasePro"
stress_granule,2824,178,0.063,1,3,"DrLLPS,PhaSepDB,PhasePro"
pml_nuclear_body,399,23,0.058,1,3,"DrLLPS,PhaSepDB,PhasePro"
paraspeckle,293,15,0.051,1,3,"DrLLPS,PhaSepDB,PhasePro"
cajal_body,255,11,0.043,1,2,"DrLLPS,PhaSepDB"
p_granule,604,24,0.04,1,3,"DrLLPS,PhaSepDB,PhasePro"
l_body,76,2,0.026,1,1,PhaSepDB
balbiani_body,341,7,0.021,1,3,"DrLLPS,PhaSepDB,PhasePro"
nucleolus,5578,115,0.021,1,3,"DrLLPS,PhaSepDB,PhasePro"
spindle_pole_body,872,14,0.016,1,1,DrLLPS
pyrenoid,183,3,0.016,1,2,"DrLLPS,PhasePro"
postsynaptic_density,2919,44,0.015,1,3,"DrLLPS,PhaSepDB,PhasePro"
p62_body,781,11,0.014,1,2,"PhaSepDB,PhasePro"
chromatoid_body,106,1,0.009,1,1,DrLLPS
nuclear_stress_body,581,5,0.009,1,2,"DrLLPS,PhaSepDB"
tau_condensate,270,2,0.007,1,1,PhaSepDB
mitochondrial_rna_granule,40,0,0.0,1,1,DrLLPS
