unified_mlo,category,source_names_collapsed,annotations,proteins,source_dbs
nucleolus,Nuclear,8,9408,5011,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
stress_granule,Citoplasmático,6,5020,2838,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
postsynaptic_density,Neuronal,5,4479,2957,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
p_body,Citoplasmático,5,2325,1507,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
presynaptic_active_zone,Neuronal,4,1394,1383,"CDCODE,PhaSepDB,PhasePro"
nuclear_speckle,Nuclear,6,1050,710,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
pml_nuclear_body,Nuclear,3,1019,798,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
centrosome,Citoesqueleto,5,1015,978,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
balbiani_body,Germinal,3,960,887,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
NotInformed,Unspecified,1,930,930,PhaSepDB
spindle_pole_body,Citoesqueleto,1,910,910,DrLLPS
p_granule,Germinal,5,833,707,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
p62_body,Citoplasmático,5,796,785,"CDCODE,PhaSepDB,PhasePro"
nuclear_stress_body,Nuclear,2,596,585,"CDCODE,DrLLPS,PhaSepDB"
in_vitro_droplet,In vitro,1,551,442,"DrLLPS,LLPSDB"
mast_cell_granule,Secretor,1,533,533,CDCODE
paraspeckle,Nuclear,3,382,273,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
cajal_body,Nuclear,1,368,257,"CDCODE,DrLLPS,PhaSepDB"
tau_condensate,Neuronal,3,276,274,"CDCODE,PhaSepDB"
nuclear_body,Nuclear,8,271,242,"CDCODE,PhaSepDB,PhasePro"
pyrenoid,Plastídico,3,267,182,"CDCODE,DrLLPS,PhasePro"
chromatoid_body,Germinal,1,222,114,"CDCODE,DrLLPS"
transcriptional_condensate,Nuclear,20,220,163,"CDCODE,PhaSepDB,PhasePro"
neuronal_granule,Neuronal,8,185,118,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
nuclear_pore_complex,Nuclear,3,120,63,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
inclusion_body,Patológico,7,95,78,"CDCODE,PhaSepDB,PhasePro"
spindle_apparatus,Citoesqueleto,9,93,89,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
l_body,Germinal,2,86,83,"CDCODE,PhaSepDB"
dna_damage_foci,Nuclear,5,85,60,"CDCODE,DrLLPS,PhaSepDB"
mitochondrial_rna_granule,Mitocondrial,2,84,44,"CDCODE,DrLLPS"
polycomb_body,Nuclear,3,82,44,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
chloroplast_stress_granule,Plastídico,1,79,79,CDCODE
cytoplasmic_rnp_granule,Citoplasmático,12,71,66,"CDCODE,PhaSepDB,PhasePro"
heterochromatin,Nuclear,3,65,52,"CDCODE,PhaSepDB,PhasePro"
signaling_cluster,Membrana,3,52,36,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
z_granule,Germinal,2,51,46,"CDCODE,PhaSepDB"
histone_locus_body,Nuclear,2,49,28,"CDCODE,DrLLPS,PhaSepDB"
sam68_nuclear_body,Nuclear,2,40,17,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
viroplasm,Viral,3,39,36,"CDCODE,PhaSepDB,PhasePro"
hyperosmotic_shock_foci,Citoplasmático,2,35,18,"CDCODE,PhaSepDB"
viral_factory,Viral,12,35,30,"CDCODE,PhaSepDB,PhasePro"
sponge_body,Germinal,1,27,14,"CDCODE,DrLLPS"
proteasome_foci,Nuclear,5,26,18,"CDCODE,PhaSepDB"
replication_compartment,Viral/Nuclear,6,23,21,"CDCODE,PhaSepDB"
tam_body,Nuclear,2,22,11,"CDCODE,DrLLPS"
insulator_body,Nuclear,1,21,15,"CDCODE,DrLLPS"
polarity_condensate,Neuronal,6,21,17,"CDCODE,PhaSepDB,PhasePro"
signaling_condensate,Citoplasmático,12,21,21,CDCODE
hippo_condensate,Membrana,4,20,18,CDCODE
bacterial_rnp_body,Procariota,4,19,18,"CDCODE,PhaSepDB,PhasePro"
sec_body,Citoplasmático,2,19,11,"CDCODE,PhaSepDB,PhasePro"
cytoplasmic_protein_granule,Citoplasmático,2,17,17,"CDCODE,PhasePro"
glycolytic_body,Citoplasmático,3,15,9,"CDCODE,PhaSepDB"
golgin_condensate,Citoplasmático,2,15,7,"CDCODE,PhaSepDB"
plant_photobody,Plastídico,3,15,10,"CDCODE,PhaSepDB"
synapsin_condensate,Neuronal,4,15,11,"CDCODE,PhaSepDB,PhasePro"
endocytic_condensate,Membrana,2,14,12,CDCODE
gem,Nuclear,3,14,13,"CDCODE,DrLLPS,PhaSepDB"
nuage,Germinal,2,14,11,"CDCODE,DrLLPS,PhaSepDB"
elva,Nuclear,1,13,13,CDCODE
sars_cov2_n_condensate,Viral,3,13,10,"CDCODE,PhaSepDB"
anisosome,Nuclear,1,12,6,"CDCODE,PhaSepDB"
degradosome,Procariota,1,12,12,CDCODE
wnt_destruction_complex,Citoplasmático,2,12,7,"CDCODE,PhaSepDB"
enhancer_condensate,Nuclear,5,11,9,"CDCODE,PhaSepDB,PhasePro"
