source_mlo,unified_mlo,source_dbs,annotations
NotInformed,NotInformed,PhaSepDB,930
Abscission checkpoint body,abscission_checkpoint_body,PhaSepDB,3
actin cortical patch,actin_cortical_patch,PhasePro,3
Actin nucleator,actin_cortical_patch,CDCODE,1
Cobl condensate,actin_cortical_patch,CDCODE,1
Aggresome,aggresome,CDCODE,6
Als5p amyloid,amyloid_aggregate,CDCODE,1
Amyloid body,amyloid_body,PhaSepDB,2
Anisosome,anisosome,"CDCODE,PhaSepDB",12
Ankle Link Complex (ALC) Condensate,ankle_link_condensate,CDCODE,4
Row 1-specific tip complex condensates,ankle_link_condensate,CDCODE,4
Antiviral condensate,antiviral_condensate,PhaSepDB,1
Assemblysome,assemblysome,"CDCODE,PhaSepDB",4
axonal TIAR-2 granules,axonal_tiar2_granule,PhasePro,1
BR-body,bacterial_rnp_body,CDCODE,14
ABC transporter condensate,bacterial_rnp_body,CDCODE,2
BR-bodies,bacterial_rnp_body,PhaSepDB,2
bacterial RNP-bodies (BR-bodies),bacterial_rnp_body,PhasePro,1
BAG2 condensate,bag2_condensate,PhaSepDB,1
Mitochondrial cloud,balbiani_body,CDCODE,598
Balbiani body,balbiani_body,"CDCODE,DrLLPS,PhaSepDB,PhasePro",360
mitochondrial cloud,balbiani_body,PhasePro,2
BAZ2A bodies,baz2a_body,CDCODE,1
Cajal body,cajal_body,"CDCODE,DrLLPS,PhaSepDB",368
Carboxysome,carboxysome,"CDCODE,PhaSepDB",3
Enzyme_shell proteins condensates,carboxysome,CDCODE,2
Centrosome,centrosome,"CDCODE,PhaSepDB",987
Pericentriolar matrix,centrosome,"CDCODE,DrLLPS,PhaSepDB",22
Pericentriolar material,centrosome,CDCODE,3
Pericentriolar compartment,centrosome,CDCODE,2
pericentriolar material,centrosome,PhasePro,1
cGAS foci,cgas_dna_complex,"CDCODE,PhasePro",5
cGAS-DNA complex,cgas_dna_complex,PhaSepDB,3
Chloroplast Stress granule,chloroplast_stress_granule,CDCODE,79
Euchromatin,chromatin_compartment,CDCODE,2
euchromatin,chromatin_compartment,PhasePro,2
eukaryotic topoisomerase ii,chromatin_compartment,CDCODE,2
Chromatin,chromatin_compartment,DrLLPS,1
Chromatoid body,chromatoid_body,"CDCODE,DrLLPS",222
Chromogranin condensates,chromogranin_condensate,CDCODE,3
Large dense-core vesicles,chromogranin_condensate,CDCODE,1
Cleavage body,cleavage_body,"CDCODE,DrLLPS",6
Cojusome,cojusome,CDCODE,1
Contractile ring condensate,contractile_ring,CDCODE,1
contractile ring,contractile_ring,PhasePro,1
Cortical condensate,cortical_condensate,PhaSepDB,1
Cytoplasmic Nucleoporin Granule,cytoplasmic_nucleoporin_granule,PhaSepDB,3
cytoplasmic protein granule,cytoplasmic_protein_granule,PhasePro,14
Cytoplasmic bodies,cytoplasmic_protein_granule,CDCODE,3
RNP granules,cytoplasmic_rnp_granule,PhaSepDB,43
cytoplasmic ribonucleoprotein granule,cytoplasmic_rnp_granule,PhasePro,7
Cytoplasmic protein granule,cytoplasmic_rnp_granule,CDCODE,5
Translational Condensate,cytoplasmic_rnp_granule,CDCODE,4
Cpeb1b-Pabpc1b-shh Condensate,cytoplasmic_rnp_granule,CDCODE,3
RNP granule,cytoplasmic_rnp_granule,CDCODE,3
CPEB4 granule,cytoplasmic_rnp_granule,CDCODE,1
Ddx3xb condensates,cytoplasmic_rnp_granule,CDCODE,1
FXR1 condensates,cytoplasmic_rnp_granule,CDCODE,1
FXR1 network,cytoplasmic_rnp_granule,PhaSepDB,1
MEX3B granule,cytoplasmic_rnp_granule,CDCODE,1
WHI3 cluster,cytoplasmic_rnp_granule,CDCODE,1
D-granule,d_granule,CDCODE,1
DDX1 body,ddx1_body,"CDCODE,DrLLPS",4
Degradosome,degradosome,CDCODE,12
DNA damage foci,dna_damage_foci,"CDCODE,DrLLPS,PhaSepDB",73
SOSS-INTAC Condensate,dna_damage_foci,CDCODE,5
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,CDCODE,3
PARP1-DNA condensate,dna_damage_foci,CDCODE,3
TopBP1 condensate,dna_damage_foci,CDCODE,1
Dps condensate,dps_condensate,CDCODE,1
Elastin granule,elastin_granule,CDCODE,1
ELKS condensate,elks_condensate,PhaSepDB,1
ELVA,elva,CDCODE,13
Ede1 condensate,endocytic_condensate,CDCODE,11
Endocytic condensates,endocytic_condensate,CDCODE,3
enhanceosome,enhanceosome,PhasePro,4
enhancer condensate,enhancer_condensate,PhaSepDB,4
MegaTrans enhancer complex,enhancer_condensate,CDCODE,2
nuclear bodies that occur at super enhancers in mESCs,enhancer_condensate,PhasePro,2
