uniprot_id,n_partners,n_weak,frac_weak,bin,gene_name,organism
P0DTD1,5257,1654,0.3146281148944265,"(1000, 10000]",rep,Severe acute respiratory syndrome coronavirus 2
O43809,5180,5017,0.9685328185328186,"(1000, 10000]",NUDT21,Homo sapiens
P39517,3587,3274,0.9127404516308893,"(1000, 10000]",DHH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
O60260,3377,1821,0.5392360082913829,"(1000, 10000]",PRKN,Homo sapiens
Q6ZTA4,3216,2518,0.7829601990049752,"(1000, 10000]",,
Q13618,3093,2838,0.9175557710960233,"(1000, 10000]",CUL3,Homo sapiens
P31384,3036,2988,0.9841897233201581,"(1000, 10000]",CCR4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P27694,3014,2604,0.8639681486396815,"(1000, 10000]",RPA1,Homo sapiens
P01106,2956,1808,0.6116373477672531,"(1000, 10000]",MYC,Homo sapiens
P15927,2861,2509,0.8769660957707095,"(1000, 10000]",RPA2,Homo sapiens
P35244,2860,2559,0.8947552447552447,"(1000, 10000]",RPA3,Homo sapiens
Q96I99,2852,34,0.011921458625525946,"(1000, 10000]",SUCLG2,Homo sapiens
Q9UGI0,2822,14,0.004961020552799433,"(1000, 10000]",,
Q69YN4,2803,2588,0.923296468069925,"(1000, 10000]",VIRMA,Homo sapiens
P41002,2784,2212,0.7945402298850575,"(1000, 10000]",CCNF,Homo sapiens
Q9TXM1,2683,2675,0.997018263138278,"(1000, 10000]",meg-3,Caenorhabditis elegans
Q92547,2434,2351,0.9658997534921939,"(1000, 10000]",TOPBP1,Homo sapiens
P05067,2264,1926,0.8507067137809188,"(1000, 10000]",APP,Homo sapiens
P03372,2252,1797,0.7979573712255773,"(1000, 10000]",ESR1,Homo sapiens
Q14258,2237,2000,0.894054537326777,"(1000, 10000]",TRIM25,Homo sapiens
P0CG48,2181,1514,0.694176983035305,"(1000, 10000]",UBC,Homo sapiens
P04156,2178,1438,0.660238751147842,"(1000, 10000]",PRNP,Homo sapiens
P0DTC5,2167,619,0.28564836179049374,"(1000, 10000]",,Severe acute respiratory syndrome coronavirus 2
Q9H4M7,2158,2157,0.9995366079703429,"(1000, 10000]",,
P04637,2137,1229,0.5751052877866167,"(1000, 10000]",TP53,Homo sapiens
P40150,2062,1942,0.94180407371484,"(1000, 10000]",SSB2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P11142,2043,1660,0.8125305922662751,"(1000, 10000]",HSPA8,Homo sapiens
P04629,2033,1913,0.940973930152484,"(1000, 10000]",NTRK1,Homo sapiens
Q15717,1993,1788,0.8971399899648771,"(1000, 10000]",ELAVL1,Homo sapiens
P0DTC2,1869,1242,0.6645264847512039,"(1000, 10000]",,
P04049,1824,387,0.21217105263157895,"(1000, 10000]",RAF1,Homo sapiens
Q15058,1799,1759,0.9777654252362423,"(1000, 10000]",KIF14,Homo sapiens
P14866,1789,1674,0.9357182783678032,"(1000, 10000]",HNRNPL,Homo sapiens
P62805,1788,1476,0.825503355704698,"(1000, 10000]",H4C1,Homo sapiens
Q9UKV8,1786,1575,0.8818589025755879,"(1000, 10000]",AGO2,Homo sapiens
Q9NQW6,1758,1717,0.9766780432309442,"(1000, 10000]",ANLN,Homo sapiens
P38144,1758,1715,0.9755403868031854,"(1000, 10000]",ISW1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P03120,1701,1671,0.982363315696649,"(1000, 10000]",,
P00533,1680,1031,0.6136904761904762,"(1000, 10000]",EGFR,Homo sapiens
O95786,1667,1563,0.937612477504499,"(1000, 10000]",RIGI,Homo sapiens
P0DTC9,1662,999,0.6010830324909747,"(1000, 10000]",N,Severe acute respiratory syndrome coronavirus 2
Q92731,1649,1575,0.9551243177683445,"(1000, 10000]",,
O60885,1575,1328,0.8431746031746031,"(1000, 10000]",BRD4,Homo sapiens
Q7Z3E1,1539,1537,0.9987004548408057,"(1000, 10000]",TIPARP,Homo sapiens
P08107,1532,1145,0.7473890339425587,"(1000, 10000]",,
O44490,1530,1527,0.9980392156862745,"(1000, 10000]",elks-1,Caenorhabditis elegans
O95793,1529,1158,0.7573577501635056,"(1000, 10000]",STAU1,Homo sapiens
P13569,1527,1156,0.7570399476096922,"(1000, 10000]",CFTR,Homo sapiens
P62256,1518,1491,0.9822134387351779,"(1000, 10000]",,
O95816,1494,1377,0.9216867469879518,"(1000, 10000]",BAG2,Homo sapiens
