unified_mlo,categoria_v6,spatial_location,taxonomic_scope,cell_type_context,physiological_state,n_prot_con_dato,discrepancia_categoria_vs_taxon
fip200_puncta,Autofagia,cytoplasm,Metazoa,,constitutive,2,
actin_cortical_patch,Citoesqueleto,cytoskeleton,Metazoa,,constitutive,5,
centrosome,Citoesqueleto,cytoskeleton,Metazoa,,constitutive,998,
contractile_ring,Citoesqueleto,cytoskeleton,Fungi,,constitutive,1,
fusion_focus,Citoesqueleto,cytoskeleton,Fungi,,constitutive,1,
plectin_condensate,Citoesqueleto,cytoskeleton,Metazoa,,constitutive,2,
polarisome,Citoesqueleto,cytoskeleton,Fungi,,constitutive,1,
spindle_apparatus,Citoesqueleto,cytoskeleton,pan_Metazoa+Viridiplantae,,constitutive,88,
spindle_pole_body,Citoesqueleto,cytoskeleton,Fungi,,constitutive,135,
z_disc_condensate,Citoesqueleto,cytoskeleton,Metazoa,muscle,constitutive,1,
aggresome,Citoplasmático,cytoplasm,Bacteria,,stress_induced,6,
amyloid_aggregate,Citoplasmático,cytoplasm,Fungi,,pathological,1,
antiviral_condensate,Citoplasmático,cytoplasm,Viridiplantae,,infection,1,
bag2_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
cgas_dna_complex,Citoplasmático,cytoplasm,Metazoa,,constitutive,4,
chaperone_condensate,Citoplasmático,cytoplasm,Protista,,constitutive,1,
chromogranin_condensate,Citoplasmático,cytoplasm,Metazoa,chromaffin_cell,constitutive,4,
cojusome,Citoplasmático,cytoplasm,Protista,,constitutive,1,
cytoplasmic_protein_granule,Citoplasmático,cytoplasm,pan_Fungi+Metazoa,,constitutive,18,
cytoplasmic_rnp_granule,Citoplasmático,cytoplasm,Metazoa,,constitutive,65,
d_granule,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
eres_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,10,
ferritin_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,3,
frq_condensate,Citoplasmático,cytoplasm,Fungi,,constitutive,1,
glycolytic_body,Citoplasmático,cytoplasm,pan_Fungi+Metazoa,,constitutive,9,
golgin_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,7,
haemoglobin_body,Citoplasmático,cytoplasm,Metazoa,erythroid,constitutive,2,
hyperosmotic_shock_foci,Citoplasmático,cytoplasm,Fungi,,stress_induced,18,
inava_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
inflammasome,Citoplasmático,cytoplasm,Metazoa,,constitutive,2,
intracellular_dna_protein_granule,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
mesh_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,3,
mirisc,Citoplasmático,cytoplasm,Metazoa,,constitutive,2,
necrosome,Citoplasmático,cytoplasm,Metazoa,,constitutive,9,
norad_pum_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,2,
p62_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,784,
p_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,1503,
plant_signaling_condensate,Citoplasmático,cytoplasm,Viridiplantae,,constitutive,7,
pre_autophagosomal_structure,Citoplasmático,cytoplasm,Fungi,,constitutive,7,
proteasome_storage_granule,Citoplasmático,cytoplasm,Fungi,,stress_induced,5,
purinosome,Citoplasmático,cytoplasm,Metazoa,,constitutive,5,
rna_helicase_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
sec_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,11,
signaling_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,10,
sint_speckle,Citoplasmático,cytoplasm,Metazoa,,constitutive,5,
sirna_body,Citoplasmático,cytoplasm,Viridiplantae,,constitutive,5,
std1_body,Citoplasmático,cytoplasm,Fungi,,constitutive,1,
sting_phase_separator,Citoplasmático,cytoplasm,Metazoa,,constitutive,2,
stress_granule,Citoplasmático,cytoplasm,pan_Fungi+Metazoa,,stress_induced,2831,
sup35_condensate,Citoplasmático,cytoplasm,Fungi,,pathological,2,
tifasome,Citoplasmático,cytoplasm,Metazoa,,constitutive,7,
tis_granule,Citoplasmático,cytoplasm,Metazoa,,constitutive,1,
u_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,5,
ubqln_puncta,Citoplasmático,cytoplasm,Metazoa,,constitutive,4,
wnk_body,Citoplasmático,cytoplasm,Metazoa,,constitutive,4,
wnt_destruction_complex,Citoplasmático,cytoplasm,Metazoa,,constitutive,7,
wnt_signaling_condensate,Citoplasmático,cytoplasm,Metazoa,,constitutive,7,
elastin_granule,Extracelular,extracellular,Metazoa,fibroblast,constitutive,1,
exosomal_condensate,Extracelular,extracellular,Metazoa,,constitutive,2,
spider_silk_condensate,Extracelular,extracellular,Metazoa,silk_gland,constitutive,1,
balbiani_body,Germinal,cytoplasm,Metazoa,germline,constitutive,847,
chromatoid_body,Germinal,cytoplasm,Metazoa,germline,constitutive,114,
germ_plasm,Germinal,cytoplasm,Metazoa,germline,constitutive,8,
l_body,Germinal,cytoplasm,Metazoa,germline,constitutive,76,
mardo,Germinal,cytoplasm,Metazoa,germline,constitutive,7,
maternal_mrna_condensate,Germinal,cytoplasm,Metazoa,germline,constitutive,2,
mutator_foci,Germinal,cytoplasm,Metazoa,germline,constitutive,1,
nuage,Germinal,cytoplasm,Metazoa,germline,constitutive,11,
oskar_granule,Germinal,cytoplasm,Metazoa,germline,constitutive,4,
p_granule,Germinal,cytoplasm,Metazoa,germline,constitutive,703,
pi_body,Germinal,cytoplasm,Metazoa,germline,constitutive,1,
simr_foci,Germinal,cytoplasm,Metazoa,germline,constitutive,2,
sponge_body,Germinal,cytoplasm,Metazoa,germline,constitutive,14,
xy_body,Germinal,nucleus,Metazoa,germline,constitutive,12,
yb_body,Germinal,cytoplasm,Metazoa,germline,constitutive,5,
z_granule,Germinal,cytoplasm,Metazoa,germline,constitutive,46,
in_vitro_droplet,In vitro,in_vitro,pan_Metazoa,,in_vitro,438,
ankle_link_condensate,Membrana,plasma_membrane,Metazoa,hair_cell,constitutive,8,
cortical_condensate,Membrana,plasma_membrane,Metazoa,,constitutive,1,
endocytic_condensate,Membrana,plasma_membrane,Fungi,,constitutive,12,
escrt_condensate,Membrana,plasma_membrane,Fungi,,constitutive,1,
galectin_condensate,Membrana,plasma_membrane,Metazoa,,constitutive,1,
