clave,declarado_baseline,medido_por_mi,coincide
annotations_by_dataset_active.0,1389,1389,si
annotations_by_dataset_active.1,34579,34579,si
annotations_by_evidence_type.cellular_localisation,8537,8537,si
annotations_by_evidence_type.cellular_requirement,2138,2138,si
annotations_by_evidence_type.curator_assignment,10872,10872,si
annotations_by_evidence_type.in_vitro_llps,577,577,si
annotations_by_evidence_type.membership_only,13844,13844,si
annotations_by_role.NULL,15233,15233,si
annotations_by_role.client,17667,17667,si
annotations_by_role.driver,3068,3068,si
annotations_by_source.CDCODE,13844,13844,si
annotations_by_source.DrLLPS,10872,10872,si
annotations_by_source.LLPSDB,380,380,si
annotations_by_source.PhaSepDB,10675,10675,si
annotations_by_source.PhasePro,197,197,si
annotations_with_literal_null_evidence,0,0,si
distinct_unified_mlos_in_use,177,177,si
fus_p35637.annotation_rows,37,37,si
fus_p35637.mlo_count,18,18,si
fus_p35637.source_dbs,"CDCODE,DrLLPS,LLPSDB,PhaSepDB,PhasePro","CDCODE,DrLLPS,LLPSDB,PhaSepDB,PhasePro",si
proteins_without_sequence,474,474,si
source_db_count_histogram.0,502,502,si
source_db_count_histogram.1,6201,6201,si
source_db_count_histogram.2,6646,6646,si
source_db_count_histogram.3,2385,2385,si
source_db_count_histogram.4,91,91,si
source_db_count_histogram.5,54,54,si
table_rows.mlo_annotations,35968,35968,si
table_rows.mlo_definitions,404,404,si
table_rows.mlo_vocabulary,177,177,si
table_rows.orthologs,19289,19289,si
table_rows.ppi,917468,917468,si
table_rows.protein_summary,15879,15879,si
table_rows.proteins,15879,15879,si
table_rows.sequence_features,358867,358867,si
