uniprot_id,unified_mlo,source_db,ev,n,k
F1R237,balbiani_body,PhasePro,30086300,2,2
G5EBV6,p_granule,CDCODE,,2,2
G5EC37,p_granule,CDCODE,,2,2
G5EDE7,centrosome,CDCODE,,2,2
G5EEM5,centrosome,CDCODE,,2,2
H0WFA5,balbiani_body,PhasePro,30086300,2,2
O00444,centrosome,CDCODE,,2,2
O00567,nucleolus,CDCODE,,2,2
O14641,wnt_signaling_condensate,CDCODE,,2,2
O43561,t_cell_signalosome,PhasePro,27056844,2,2
O45551,p_granule,CDCODE,,2,2
O60832,nucleolus,CDCODE,,2,2
O60841,stress_granule,CDCODE,,2,2
O60885,transcriptional_condensate,CDCODE,,2,2
O62011,mutator_foci,PhasePro,30036386,2,2
O62011,p_granule,PhaSepDB,39354132,2,1
O94875,postsynaptic_density,CDCODE,,2,2
O94986,centrosome,CDCODE,,2,2
O94986,centrosome,PhaSepDB,33658185;33208041,2,2
P04050,transcriptional_condensate,PhasePro,30127355,2,2
P06730,p_body,CDCODE,,2,2
P06748,nucleolus,CDCODE,,2,2
P06748,nucleolus,PhasePro,26836305,2,2
P08047,transcriptional_condensate,CDCODE,,2,2
P08670,viral_factory,CDCODE,,2,2
P09651,stress_granule,CDCODE,,2,2
P0A9A6,ftsz_droplet,CDCODE,,2,2
P0DTD1,sars_cov2_n_condensate,CDCODE,,2,2
P11940,stress_granule,CDCODE,,2,2
P12814,postsynaptic_density,CDCODE,,2,2
P14907,nuclear_pore_complex,PhasePro,20304795,2,2
P17931,galectin_lattice,PhasePro,28893908,2,2
P22087,nucleolus,CDCODE,,2,2
P24928,transcriptional_condensate,CDCODE,,2,2
P24928,transcriptional_condensate,PhasePro,30127355,2,2
P26196,p_body,CDCODE,,2,2
P31483,stress_granule,CDCODE,,2,2
P32790,endocytic_condensate,CDCODE,,2,2
P34556,centrosome,DrLLPS,17419992;29751016;19805813,2,2
P35637,dna_damage_foci,CDCODE,,2,2
P35637,neuronal_granule,CDCODE,,2,2
P37840,alpha_synuclein_condensate,CDCODE,,2,2
P43243,stress_granule,CDCODE,,2,2
P46937,hippo_condensate,CDCODE,,2,2
P51991,stress_granule,CDCODE,,2,2
P52272,stress_granule,CDCODE,,2,2
P52948,nuclear_pore_complex,PhasePro,25562883,2,2
