unified_mlo,filas,filas_con_pmid,pmids_distintos,pmid_unico,sin_ningun_pmid
mast_cell_granule,533,0,0,,True
chloroplast_stress_granule,79,0,0,,True
hippo_condensate,18,0,0,,True
endocytic_condensate,14,0,0,,True
elva,13,0,0,,True
degradosome,12,0,0,,True
eres_condensate,11,0,0,,True
signaling_condensate,10,0,0,,True
bacterial_polarity_condensate,9,0,0,,True
ankle_link_condensate,8,0,0,,True
mardo,7,0,0,,True
plant_signaling_condensate,7,0,0,,True
tifasome,7,0,0,,True
midbody_granule,7,0,0,,True
aggresome,6,0,0,,True
zo_protein_compartment,5,0,0,,True
wnk_body,4,0,0,,True
chromogranin_condensate,4,0,0,,True
slit_diaphragm_condensate,3,0,0,,True
ferritin_condensate,3,0,0,,True
abc_transporter_condensate,2,0,0,,True
inflammasome,2,0,0,,True
mcd_condensate,2,0,0,,True
simr_foci,2,0,0,,True
exosomal_condensate,2,0,0,,True
plectin_condensate,2,0,0,,True
inava_condensate,2,0,0,,True
elastin_granule,1,0,0,,True
chaperone_condensate,1,0,0,,True
smn_complex,1,0,0,,True
polarisome,1,0,0,,True
amyloid_aggregate,1,0,0,,True
escrt_condensate,1,0,0,,True
d_granule,1,0,0,,True
cojusome,1,0,0,,True
polyp_granule,1,0,0,,True
parabs_condensate,1,0,0,,True
rho_body,1,0,0,,True
dps_condensate,1,0,0,,True
spider_silk_condensate,1,0,0,,True
refractile_body,1,0,0,,True
baz2a_body,1,0,0,,True
frq_condensate,1,0,0,,True
galectin_condensate,1,0,0,,True
z_disc_condensate,1,0,0,,True
fusion_focus,1,0,0,,True
t_cell_signalosome,9,6,1,27056844,False
sint_speckle,9,5,1,31442668,False
necrosome,9,2,1,22817896,False
integrin_adhesion_complex,6,3,1,35049497,False
ftsz_droplet,5,2,1,30523075,False
actin_cortical_patch,5,3,1,26553976,False
proteasome_storage_granule,5,5,1,38408252,False
sup35_condensate,4,2,1,29301985,False
norad_pum_body,4,2,1,34108682,False
spop_daxx_body,4,2,1,30244836,False
abscission_checkpoint_body,3,3,1,37450591,False
nono_condensate,3,3,1,36754961,False
twn_body,3,3,1,38980795,False
morc3_nuclear_body,2,1,1,31284181,False
std1_body,2,1,1,29249654,False
contractile_ring,2,1,1,31243991,False
liquid_dyrk3_speckle,2,1,1,23415227,False
maternal_mrna_condensate,2,1,1,36477743,False
galectin_lattice,2,2,1,28893908,False
haemoglobin_body,2,2,1,37794190,False
icp22_condensate,2,2,1,39383039,False
u1_snrnp_condensate,2,2,1,40050462,False
amyloid_body,2,2,1,38805292,False
pi_body,1,1,1,25747659,False
intracellular_dna_protein_granule,1,1,1,29976794,False
axonal_tiar2_granule,1,1,1,31378567,False
bag2_condensate,1,1,1,35654899,False
rna_helicase_condensate,1,1,1,37029300,False
elks_condensate,1,1,1,37172719,False
kat6a_condensate,1,1,1,38973255,False
antiviral_condensate,1,1,1,36642157,False
nikr_compartment,1,1,1,37210726,False
pab2_condensate,1,1,1,40163528,False
inq_compartment,1,1,1,38055836,False
l_body,86,76,2,,False
golgin_condensate,14,7,2,,False
xy_body,12,10,2,,False
yb_body,9,5,2,,False
