unified_mlo,filas_totales,filas_con_pmid,pmid_dominante,filas_con_ese_pmid,frac_de_filas_con_pmid,frac_del_MLO
postsynaptic_density,5844,2987,23071613,2776,0.929,0.475
nucleolus,9408,5676,26980300,2042,0.36,0.217
stress_granule,5020,3313,33939924,957,0.289,0.191
p62_body,796,785,37192622,772,0.983,0.97
nuclear_stress_body,596,582,33134894,567,0.974,0.951
p_granule,833,764,39354132,553,0.724,0.664
p_body,2325,1326,31626750,389,0.293,0.167
nuclear_speckle,1050,807,39798570,359,0.445,0.342
tau_condensate,276,270,30068389,268,0.993,0.971
paraspeckle,382,306,32458346,208,0.68,0.545
pyrenoid,267,183,29481573,178,0.973,0.667
balbiani_body,960,348,39793567,173,0.497,0.18
pml_nuclear_body,1019,458,35194189,160,0.349,0.157
centrosome,1778,800,23071613,118,0.147,0.066
nuclear_body,271,232,15169873,113,0.487,0.417
cajal_body,368,278,39602297,99,0.356,0.269
chromatoid_body,222,113,24554440,83,0.735,0.374
l_body,86,76,34613784,74,0.974,0.86
z_granule,51,48,39354132,42,0.875,0.824
in_vitro_droplet,551,549,29961577,40,0.073,0.073
neuronal_granule,185,71,15312650,37,0.521,0.2
cytoplasmic_rnp_granule,71,51,17289661,29,0.569,0.408
spindle_pole_body,135,135,14570580,29,0.215,0.215
mitochondrial_rna_granule,84,42,25683715,20,0.476,0.238
polycomb_body,82,47,28778878,18,0.383,0.22
hyperosmotic_shock_foci,35,18,31285266,18,1.0,0.514
nuclear_pore_complex,120,69,25562883,16,0.232,0.133
viroplasm,39,26,34372555,14,0.538,0.359
dna_damage_foci,88,50,34980897,12,0.24,0.136
sponge_body,27,14,19301391,11,0.786,0.407
sam68_nuclear_body,40,25,24127217,10,0.4,0.25
tam_body,22,11,16585272,10,0.909,0.455
NotInformed,930,930,31560342,9,0.01,0.01
xy_body,12,10,34980897,9,0.9,0.75
gem,14,13,25052091,8,0.615,0.571
histone_locus_body,49,34,26909464,8,0.235,0.163
golgin_condensate,14,7,32668013,7,1.0,0.5
t_cell_signalosome,9,6,27056844,6,1.0,0.667
mirisc,8,6,29576456,6,1.0,0.75
transcriptional_condensate,220,114,33606996,6,0.053,0.027
mitochondrial_nucleoid,6,6,34711968,6,1.0,1.0
glycolytic_body,15,9,32298230,6,0.667,0.4
anisosome,12,6,33335017,6,1.0,0.5
spindle_apparatus,93,80,26980300,6,0.075,0.065
signaling_cluster,54,27,26553976,6,0.222,0.111
opt_domain,7,7,27838525,6,0.857,0.857
heterochromatin,55,45,28636597,5,0.111,0.091
