uniprot_id,organism_uniprot,estado,remapea_a,reino
A0A023T4K3,Caenorhabditis elegans,Active,,Metazoa
A0A024R3V0,,DELETED,,
A0A087WTS8,,DELETED,,
A0A087X0M4,Homo sapiens,Active,,Metazoa
A0A087X211,,DELETED,,
A0A0A0MSQ0,,DELETED,,
A0A0A0MTH9,,DELETED,,
A0A0B4KH25,Drosophila melanogaster,Active,,Metazoa
A0A0C4DGZ1,,DELETED,,
A0A0G2JMS6,,DELETED,,
A0A0J9YYL3,,DELETED,,
A0A140T862,,DELETED,,
A0A1L8EP22,,DELETED,,
A0A1L8EW14,,DELETED,,
A0A1L8EXC4,,DELETED,,
A0A1L8F2W4,,DELETED,,
A0A1L8FTL8,,DELETED,,
A0A1L8GET6,,DELETED,,
A0A1L8GLL5,,DELETED,,
A0A1L8GT79,,DELETED,,
A0A1L8GYF2,,DELETED,,
A0A1L8H195,,DELETED,,
A0A1L8H4N6,,DELETED,,
A0A1L8HNA9,,DELETED,,
A0A1L8HSF1,,DELETED,,
A0A1L8HSG7,,DELETED,,
A0A2R8QD37,,DELETED,,
A0A7I9BV08,,DELETED,,
A0A7J6KGH8,Toxoplasma gondii,Active,,Protista
A0A8M1RQR9,,DELETED,,
A0A8M2B1S0,,DELETED,,
A0A8M3AP85,,DELETED,,
A0A8M6Z3G7,,DELETED,,
A0A8M9PD17,,DELETED,,
A0A8M9Q2Y2,,DELETED,,
A0A8N7USV6,,DELETED,,
A0AB32TN67,,DELETED,,
A0AB32TQ06,,DELETED,,
A3KFL4,Homo sapiens,Active,,Metazoa
A6NCZ6,,DELETED,,
A6NIT8,Homo sapiens,Active,,Metazoa
A6NN01,Homo sapiens,Active,,Metazoa
A6NNR3,Homo sapiens,Active,,Metazoa
A8CZ64,Homo sapiens,Active,,Metazoa
A8HPG1,,DELETED,,
A8HPL8,,DELETED,,
A8HPW9,,DELETED,,
A8HQA6,,DELETED,,
A8HQC3,,DELETED,,
A8HRT8,,DELETED,,
A8HS95,,DELETED,,
A8HSE5,,DELETED,,
A8HTK2,,DELETED,,
A8HW52,,DELETED,,
