acc	organism	database_source	llps_roles	mlos	idrs	lcrs	llps_regions	pfam_domains
A0A023J6F3	Mus musculus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A023PZG4	Saccharomyces cerevisiae	drllps	regulator	stress_granule				
A0A023T4K3	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A024R3V0	Homo sapiens	cdcode	client	stress_granule				
A0A024RB53	Homo sapiens	cdcode,llpsdb	driver,client	synthetic_condensate_000008,synthetic_condensate_000095	182-216,274-320	194-268,278-293,303-317		RRM_1 (x2),HnRNPA1 (x1)
A0A024WF06	Plasmodium falciparum Tanzania	phasepdb	driver	na				
A0A059T907	Ctenopharyngodon idella	cdcode	client	gcrv_viroplasm				
A0A059VCI1	Norovirus Hu/GII.4/SGU-110421/KOR/2011	cdcode	client	rdrp_condensates				
A0A060LD43	Rotavirus A	phasepdb	driver	viroplasm				
A0A061ACH8	Caenorhabditis elegans	phasepdb	client	z_granule				
A0A072VLI9	Medicago truncatula	phasepdb	driver	na				
A0A075B6F9	Homo sapiens	phasepdb	client	stress_granule				
A0A075B6S2	Homo sapiens	phasepdb	client	paraspeckle				V-set (x1)
A0A076JUE1	Norovirus GII.4	cdcode	client	rdrp_condensates				
A0A085R2T8	Vibrio cholerae	phasepdb	driver	na				
A0A087WTS8		cdcode	client	pml_nuclear_body				
A0A087WVQ6	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087WWU8	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087WXK2	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087WY55	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087WYT3	Homo sapiens	phasepdb	client	stress_granule				
A0A087WZ13	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087X0H9	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087X0M4	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087X0T9	Homo sapiens	cdcode,drllps	client	pml_nuclear_body				
A0A087X1E4	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087X1Z3	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A087X211	Homo sapiens	phasepdb	client	nucleolus;_stress_granule				
A0A087X271	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A088MEP7	Doryteuthis opalescens	llpsdb,phasepdb	driver	na				
A0A088ML56	Drosophila ananassae	phasepdb	driver	yb_body				
A0A090AX62	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A090AZM4	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A096LP55	Homo sapiens	drllps	regulator	stress_granule	1-30	17-25		UCR_hinge (x1)
A0A0A0MQA5	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0A0MQF6	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0A0MQR2	Homo sapiens	phasepdb	client	stress_granule				
A0A0A0MRZ7	Homo sapiens	phasepdb	client	paraspeckle				V-set (x1)
A0A0A0MSN9	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0A0MSQ0		cdcode	client	pml_nuclear_body				
A0A0A0MSU3	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0A0MT08	Homo sapiens	cdcode,drllps	client	nucleolus	1-42,66-87,106-150	206-219,336-359,597-617,765-776,814-820,901-910,959-973		
A0A0A0MTH9		cdcode	client	pml_nuclear_body				
A0A0A6YWC8	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0A6YY34	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0A6YY75	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0A6YY83	Mus musculus	cdcode,drllps	client	postsynaptic_density	182-241,914-1020,1068-1138,1220-1244	14-27,181-200,208-222,231-242,510-521,877-903,929-944,1088-1099		Cadherin (x6),Cadherin_2 (x1),Protocadherin (x1)
A0A0B4J1E6	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
